method,inference_nstep,evaluation_nstep,start,updates_completed,termination_reason,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,0,46,time-budget,-3919.819617911106,0.14678748725250299,5000,36,32636471,ok
DS order-1.5 block Gaussian,20,20,1,47,time-budget,-4104.41870456739,0.813900735528207,5000,36,32637468,ok
DS order-1.5 block Gaussian,20,20,2,47,time-budget,-4399.262621807266,0.1650907376000793,5000,36,32638465,ok
DS order-1.5 block Gaussian,20,20,3,51,time-budget,-4019.851313336095,0.19426241976722675,5000,36,32639462,ok
DS order-1.5 block Gaussian,20,20,4,21,non-finite-path-or-score,-4617.256559468945,0.3026135702859148,5000,36,32640459,ok
DS order-1.5 block Gaussian,20,20,5,47,time-budget,-8269.46069824517,6.913197615793919,5000,36,32641456,ok
DS order-1.5 block Gaussian,20,20,6,51,time-budget,-4055.4328932766643,1.2849667112148435,5000,36,32642453,ok
DS order-1.5 block Gaussian,20,20,7,41,time-budget,-4077.4111034690336,0.3576384861510665,5000,36,32643450,ok
DS order-1.5 block Gaussian,20,20,8,47,time-budget,-3897.0752966892946,1.7255708100239553,5000,36,32644447,ok
DS order-1.5 block Gaussian,20,20,9,47,time-budget,-3974.9498730870173,0.0958541460315298,5000,36,32645444,ok
DS order-1.5 block Gaussian,20,20,10,47,time-budget,-3950.095329004776,0.0742615378416075,5000,36,32646441,ok
DS order-1.5 block Gaussian,20,20,11,47,time-budget,-3935.7795805651417,0.12642237131178485,5000,36,32647438,ok
DS order-1.5 block Gaussian,20,20,12,1,non-finite-path-or-score,-6512.390954156986,2.6143583003215594,5000,36,32648435,ok
DS order-1.5 block Gaussian,20,20,13,47,time-budget,-4176.546276006883,0.12282430132047074,5000,36,32649432,ok
DS order-1.5 block Gaussian,20,20,14,51,time-budget,-5951.315129676141,0.18562726695702425,5000,36,32650429,ok
DS order-1.5 block Gaussian,20,20,15,51,time-budget,-4166.51575841493,0.17640485995989635,5000,36,32651426,ok
DS order-1.5 block Gaussian,20,20,16,51,time-budget,-4111.620140824473,0.25912221574484917,5000,36,32652423,ok
DS order-1.5 block Gaussian,20,20,17,51,time-budget,-4018.511140543184,0.0959067810752668,5000,36,32653420,ok
DS order-1.5 block Gaussian,20,20,18,51,time-budget,-4126.948813117998,0.23031711804619137,5000,36,32654417,ok
DS order-1.5 block Gaussian,20,20,19,47,time-budget,-3906.759950348731,0.2329482519454458,5000,36,32655414,ok
DS order-1.5 block Gaussian,20,20,20,45,time-budget,-3871.5680826950556,0.19119509538476628,5000,36,32656411,ok
DS order-1.5 block Gaussian,20,20,21,51,time-budget,-4023.5699889287484,0.24759320872687854,5000,36,32657408,ok
DS order-1.5 block Gaussian,20,20,22,51,time-budget,-4093.1183832327124,0.7688954918872525,5000,36,32658405,ok
