method,inference_nstep,start,start_type,particles,iterations_requested,updates_completed,termination_reason,elapsed_seconds,initial_pseudo_loglik,final_pseudo_loglik,minimum_ess,maximum_invalid_fraction,total_backtracks,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,global-box,100,5000,68,time-budget,401.42738528898917,-6230.911698240044,-4239.122056119243,1.0000000000001386,0.44,0,16.453124775500406,0.3258432937149439,13.269292646879059,-0.006027096193972138,3.013959811208819,0.49438579463133814,1.6415316837495366,4.799109887465664,-3.170790535079757,3.8702848449541,4.045653256651489,2.286769994408817,-3.78998450631871,-3.2590569615552183,-1.5580255498750686,-7.366340772958663,-7.543737113383166,-9.425474674029548,0.27645640979744507,0.1391398804818244,0.1651799084903497,0.1427673914329358,0.27645640979744507,2.800515415129504,-1.1213387073118273,2.5854525422420642,-0.6027096193972138,1.1032547660771894,-0.7044391057932352,1.6415316837495366,4.799109887465664,-3.170790535079757,3.8702848449541,4.045653256651489,2.286769994408817,-3.78998450631871,-3.2590569615552183,-1.5580255498750686,-7.366340772958663,-7.543737113383166,-9.425474674029548,0.0,-0.6865733970982165,-0.515017924232671,-0.6608364860961299,0.0
DS order-1.5 block Gaussian,20,4,global-box,100,5000,69,time-budget,403.6965021219803,-14334.775572021397,-5210.159463933542,1.0,0.55,0,16.10350013213464,0.538299804451047,2.1322216937020304,-0.004978915485499758,5.0,0.4112800354290705,2.485956406857459,4.459754737937866,2.9984717886052223,0.16518713042203859,7.070228016619016,5.151454758414417,0.0,-6.526676216413995,-4.62739712882459,-6.824480968327697,-9.005057625054029,-2.555502595884321,0.02247105983558356,0.20959413057636447,0.1432882492488115,0.3018948349054972,0.32275172543374336,2.7790366478740363,-0.6193396166866142,0.757164484810418,-0.4978915485499758,1.6094379124341003,-0.8884809450914601,2.485956406857459,4.459754737937866,2.9984717886052223,0.16518713042203859,7.070228016619016,5.151454758414417,0.0,-6.526676216413995,-4.62739712882459,-6.824480968327697,-9.005057625054029,-2.555502595884321,-2.664655123972835,-0.43171042667096027,-0.8120250453335894,-0.06680464781099571,0.0
DS order-1.5 block Gaussian,20,7,global-box,100,5000,68,time-budget,400.6105784790125,-6578.96918012133,-4775.185082796497,1.012719073901923,0.6,0,12.429385041067285,0.17886396961058765,11.989615676787789,-0.01,3.5765097536875934,0.5,2.8593166284736897,4.962119851512515,-0.5253079456273478,3.570652443354406,5.908010865968155,0.0,-8.21623129137417,-2.592938821575202,-4.821487093083549,-10.0,-2.1652690208564414,-5.21086812235885,0.19993940734260673,0.1034256232735986,0.3117177982653394,0.25722404066145366,0.12769313045700165,2.520063430531036,-1.7211297083565227,2.4840409148799716,-1.0,1.2743873957225418,-0.6931471805599453,2.8593166284736897,4.962119851512515,-0.5253079456273478,3.570652443354406,5.908010865968155,0.0,-8.21623129137417,-2.592938821575202,-4.821487093083549,-10.0,-2.1652690208564414,-5.21086812235885,-0.4440839284113809,-1.1032455471064413,0.0,-0.19215082708450731,-0.8924683185635445
DS order-1.5 block Gaussian,20,8,global-box,100,5000,68,time-budget,401.41708370600827,-9100.794828771066,-4087.167434209128,1.000000000085123,0.18,0,28.96019994411733,0.16308446609344165,9.364640991705755,-0.002838799869912094,2.08889349080222,0.5,2.752322836024116,4.877194588048908,-1.7216094870060685,4.16904896823142,3.7401909793968606,4.012916952767235,-4.889996192268054,0.0,-6.906846498599597,-5.893977537526061,-4.860170489919511,-8.461970893783832,0.028538732245938735,0.27704572880576117,0.30749699752854054,0.07788746029573052,0.30903108112402905,3.36592247164138,-1.8134870155007388,2.2369410000524073,-0.2838799869912094,0.7366344955408733,-0.6931471805599453,2.752322836024116,4.877194588048908,-1.7216094870060685,4.16904896823142,3.7401909793968606,4.012916952767235,-4.889996192268054,0.0,-6.906846498599597,-5.893977537526061,-4.860170489919511,-8.461970893783832,-2.3821796671935456,-0.109259279497673,-0.00497653493712746,-1.3781768898953255,0.0
