method,inference_nstep,start,target_elapsed_seconds,iteration,elapsed_seconds,training_pseudo_loglik,block_loglik,block_loglik_se,eval_particles,eval_replicates,replicate_logliks
DS order-1.5 block Gaussian,20,0,0,0,8.641959292988759,-6230.911698240044,-6220.728416384535,0.961090512105988,500,4,"[-6225.182964857704, -6222.97556269545, -6219.371962795775, -6228.931781461422]"
DS order-1.5 block Gaussian,20,0,100,16,101.20931399101391,-4955.949509322534,-4873.20619800543,0.4650627913833257,500,4,"[-4872.628889581634, -4874.0829084879115, -4915.115295321473, -4872.616960854064]"
DS order-1.5 block Gaussian,20,0,200,33,199.41692136001075,-4304.385951924907,-4277.176237088255,0.9690608309276267,500,4,"[-4280.667974581286, -4282.523029850442, -4280.027218532925, -4275.813466991853]"
DS order-1.5 block Gaussian,20,0,300,50,297.47314229997573,-4242.183938840828,-4226.708637971805,0.6880988355171547,500,4,"[-4226.657064129874, -4225.634337332386, -4230.896501677788, -4232.242704335975]"
DS order-1.5 block Gaussian,20,0,400,68,401.4272920539952,-4239.122056119243,-4192.1096052236735,0.9759249283651892,500,4,"[-4199.327237741982, -4190.7415751898525, -4195.0736562618695, -4196.019070361144]"
DS order-1.5 block Gaussian,20,4,0,0,8.473272814007942,-14334.775572021397,-12960.204568628811,1.0,500,4,"[-13430.004144567938, -13091.028552171552, -13017.76849422865, -12958.81827426769]"
DS order-1.5 block Gaussian,20,4,100,16,99.9843414920033,-5721.1978140449255,-5574.730695826192,0.9999988650783638,500,4,"[-5587.321030280167, -5573.344402316264, -5603.75441700846, -5608.2895861219695]"
DS order-1.5 block Gaussian,20,4,200,33,197.81106824602466,-5276.068639443869,-5212.096892386491,0.9999140869060122,500,4,"[-5210.710662463633, -5225.710920992024, -5220.365190461639, -5236.485966212703]"
DS order-1.5 block Gaussian,20,4,300,51,301.4777388939983,-5227.940068075419,-5189.638062933905,0.9768411354750701,500,4,"[-5192.900851448865, -5188.269311486934, -5193.211934793119, -5195.372969888737]"
DS order-1.5 block Gaussian,20,4,400,68,399.20158625399927,-5204.2690975012665,-5159.841694542696,0.9999843596447004,500,4,"[-5179.396459398026, -5176.378254899083, -5158.4554119119575, -5169.810206584939]"
DS order-1.5 block Gaussian,20,4,404,69,403.6963956680265,-5210.159463933542,-5179.39186484626,0.9938609551663944,500,4,"[-5186.814040904975, -5184.840406489432, -5178.0101882021545, -5183.694868462191]"
DS order-1.5 block Gaussian,20,7,0,0,8.366567218967248,-6578.96918012133,-6416.354808786285,0.999998021412725,500,4,"[-6428.389449023825, -6439.1187597012095, -6414.968515909107, -6437.563752149443]"
DS order-1.5 block Gaussian,20,7,100,16,100.63104825699702,-5462.934558900895,-5410.8204704850705,0.9999997362228177,500,4,"[-5424.880453808474, -5409.4341763217835, -5429.437862035583, -5447.110782169359]"
DS order-1.5 block Gaussian,20,7,200,33,198.41923613997642,-4982.353616699322,-4952.611607407648,0.9999999977934583,500,4,"[-4971.444835032525, -4951.225313048183, -4990.173295057079, -4985.989696102385]"
DS order-1.5 block Gaussian,20,7,300,51,302.68534941098187,-4832.811331639399,-4794.259056446391,0.9997603572180331,500,4,"[-4801.778493068605, -4802.9012027771905, -4814.417620671704, -4792.872941838297]"
DS order-1.5 block Gaussian,20,7,400,68,400.610499611008,-4775.185082796497,-4733.7671728188425,0.9999233635548326,500,4,"[-4732.38093593773, -4742.170076244576, -4756.6926844919735, -4745.842581234982]"
DS order-1.5 block Gaussian,20,8,0,0,8.177319558977615,-9100.794828771066,-8646.44028232163,0.9999999980331118,500,4,"[-8810.283661564785, -8645.053987961985, -8666.84886076803, -8665.65264230545]"
DS order-1.5 block Gaussian,20,8,100,16,101.62212074495619,-4850.527395454335,-4737.664623962671,0.7073720564923246,500,4,"[-4737.858178662367, -4739.745996451741, -4736.549083652567, -4754.761447945798]"
DS order-1.5 block Gaussian,20,8,200,33,199.6010666199727,-4278.580722228206,-4227.068243527267,0.9971448070184629,500,4,"[-4234.012749280408, -4231.97804533408, -4225.684093826771, -4235.438812959259]"
DS order-1.5 block Gaussian,20,8,300,50,297.64694737497484,-4181.523077296137,-4129.661012987019,0.9744238794576425,500,4,"[-4132.791868681332, -4133.066783024306, -4146.01816904479, -4128.294121077576]"
DS order-1.5 block Gaussian,20,8,400,68,401.4170216709608,-4087.167434209128,-4070.8684415085254,0.852037103792059,500,4,"[-4076.871063996169, -4069.6055485977095, -4076.7913317667535, -4071.6466776116495]"
