method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,gradient_norm,minimum_ess,median_ess,resampling_count,maximum_invalid_fraction,learning_rate,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
Corenflos DPF,20,0,0,1.5568357580341399,-6231.270667517555,2578.9535922656123,17.263783335202216,76.24223725607978,97,0.0,0.02,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093505,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
Corenflos DPF,20,0,1,3.626577057992108,-6219.320878573585,2119.9560965456544,15.853736296752622,78.37478203757396,88,0.0,0.01996007984031936,11.962775229897678,0.41516160803992874,16.09480353364279,-0.009454575826213504,1.2598257876177925,0.41280960972863195,2.071969990755532,5.177343476241199,-2.2094251485807144,4.882077687636932,5.020225608604589,2.8820006284631026,-3.779438190638195,-2.3727504773956603,-0.5465467843402999,-6.332280428122194,-6.590966245855247,-9.40110644765281,0.2985967191848905,0.13302171200402355,0.16094099598131947,0.1301204469908298,0.27732012583893667,2.481799764238343,-0.8790874175908622,2.7784964580060483,-0.9454575826213504,0.23097344760866417,-0.8847687857043688,2.071969990755532,5.177343476241199,-2.2094251485807144,4.882077687636932,5.020225608604589,2.8820006284631026,-3.779438190638195,-2.3727504773956603,-0.5465467843402999,-6.332280428122194,-6.590966245855247,-9.40110644765281,0.0,-0.8085815346714055,-0.6180560844956864,-0.8306333609009061,-0.07392136987801445
Corenflos DPF,20,0,2,5.029547809041105,-6202.676828430911,2021.591959515055,21.431596792865637,78.00906902357144,86,0.0,0.0199203187250996,11.75266245902533,0.4230572610748749,16.40733951613059,-0.009549448411019158,1.2514722074906808,0.4211407590313237,2.0877207032272116,5.186713818329102,-2.1921597553677663,4.9017153656110946,5.039810585651527,2.900681965501561,-3.794629361194877,-2.390725037566835,-0.5622102147840503,-6.326171965421948,-6.57184804368063,-9.396301466451776,0.30015188073449406,0.13530700748751306,0.15894087365283163,0.12887495538518373,0.27672528273997754,2.4640798071794947,-0.8602477401260761,2.797728766189189,-0.9549448411019158,0.2243206242844798,-0.8647881566879648,2.0877207032272116,5.186713818329102,-2.1921597553677663,4.9017153656110946,5.039810585651527,2.900681965501561,-3.794629361194877,-2.390725037566835,-0.5622102147840503,-6.326171965421948,-6.57184804368063,-9.396301466451776,0.0,-0.7967422896035515,-0.6357563464171431,-0.8454460195098872,-0.08126336065274474
Corenflos DPF,20,0,3,6.39480025600642,-6182.831859246426,2008.657705657441,20.540556041800567,75.87371255460064,81,0.0,0.019880715705765408,11.55685000134318,0.43088039478572354,16.72018790771334,-0.009664895198931845,1.2481218747917984,0.4296369706213289,2.099623314202485,5.187078351414186,-2.176031034663743,4.921309440141175,5.0593982646992055,2.919125984106773,-3.811910177438799,-2.4095329856468273,-0.5797554570998144,-6.326233829829598,-6.552803599636354,-9.399760765930617,0.3014697673645493,0.13732369880183493,0.15683726847378235,0.12759075841497036,0.2767785069448631,2.447278334878461,-0.8419247336880121,2.8166168460930057,-0.9664895198931844,0.22163992126236284,-0.8448146812469636,2.099623314202485,5.187078351414186,-2.176031034663743,4.921309440141175,5.0593982646992055,2.919125984106773,-3.811910177438799,-2.4095329856468273,-0.5797554570998144,-6.326233829829598,-6.552803599636354,-9.399760765930617,0.0,-0.7863288331934477,-0.6534609757908492,-0.8598417949855428,-0.08545216465021524
Corenflos DPF,20,0,4,7.743516187998466,-6165.989674971185,1904.5602766253885,17.674273455231056,76.49344550046328,79,0.0,0.01984126984126984,11.356254991240398,0.43906424833793317,17.04459056766039,-0.009813966964891497,1.243458732617167,0.43828390975766135,2.112737705591889,5.191633022857318,-2.1589208460284675,4.940911533879666,5.079003177920992,2.937872447169436,-3.828150141343952,-2.4282934447772138,-0.597727362335297,-6.327935341883859,-6.533860889767594,-9.403193898079751,0.3031215442503081,0.13996949647487064,0.15480931655157296,0.1262169044350057,0.27588273828824256,2.4297686926770874,-0.8231095250482656,2.8358328846302236,-0.9813966964891497,0.21789679723469774,-0.8248883828000997,2.112737705591889,5.191633022857318,-2.1589208460284675,4.940911533879666,5.079003177920992,2.937872447169436,-3.828150141343952,-2.4282934447772138,-0.597727362335297,-6.327935341883859,-6.533860889767594,-9.403193898079751,0.0,-0.7727093446682576,-0.6719397174291061,-0.876131970514508,-0.09415794705186409
Corenflos DPF,20,0,5,9.008843248011544,-6153.733537746752,2120.0559853959776,31.293872990196476,71.15106786407307,68,0.0,0.019801980198019802,11.155017385825063,0.44745675411932456,17.378090313414997,-0.009979037420678308,1.2347611478063936,0.4470879374483993,2.127932708200955,5.20196739013875,-2.141085990629516,4.960507971602618,5.0985936689107625,2.956817079250779,-3.8435449877604895,-2.446907630525862,-0.6160507841388997,-6.331164790616628,-6.514821383629742,-9.41010735156156,0.3050599907638712,0.14310487095983457,0.1528710482102955,0.12482210090064899,0.2741419891653498,2.4118893864511937,-0.8041753847765587,2.855210235400575,-0.9979037420678307,0.2108775487893325,-0.8049999756445162,2.127932708200955,5.20196739013875,-2.141085990629516,4.960507971602618,5.0985936689107625,2.956817079250779,-3.8435449877604895,-2.446907630525862,-0.6160507841388997,-6.331164790616628,-6.514821383629742,-9.41010735156156,0.0,-0.7569307234594641,-0.6909137044321336,-0.8936189174886342,-0.10686226749834415
Corenflos DPF,20,0,6,10.27441994403489,-6140.602995972469,1925.799516334463,22.44697772909543,76.17858001248035,68,0.0,0.019762845849802372,10.950759187537864,0.4561588512654264,17.719756546767957,-0.01,1.2208511981319174,0.45598167003639933,2.1444407045784137,5.215221533081984,-2.1226005572930307,4.980217660269814,5.118347036960663,2.9759810446081145,-3.8557770655407144,-2.4645075883354615,-0.6330628914672607,-6.329453325080595,-6.4955199915906,-9.40929702899113,0.30565310404307294,0.1468384747354737,0.15130841178624418,0.12369433931259438,0.27250567012261484,2.393408786054383,-0.7849141720921088,2.874680206186842,-1.0,0.19954831885012725,-0.7853026675642816,2.1444407045784137,5.215221533081984,-2.1226005572930307,4.980217660269814,5.118347036960663,2.9759810446081145,-3.8557770655407144,-2.4645075883354615,-0.6330628914672607,-6.329453325080595,-6.4955199915906,-9.40929702899113,0.0,-0.733117640650929,-0.7031305959851539,-0.9046372950372359,-0.11479139029436825
Corenflos DPF,20,0,7,11.500674154027365,-6130.508905949046,1928.1324166072586,37.16127545031477,72.89857344581533,63,0.0,0.01972386587771203,10.745462037602906,0.46514113135173807,18.070821083307223,-0.01,1.2057865883691006,0.4650112489473923,2.1619165253574755,5.230089700367513,-2.1037988637909417,4.999926573604264,5.13816585363663,2.995440822407439,-3.8661150681077974,-2.4812426339409637,-0.6493263073457598,-6.325800194134702,-6.476210372102449,-9.406005087079892,0.3054006868803413,0.15102086208399476,0.14995712529828906,0.12270758936454794,0.270913736372827,2.3744835294122333,-0.7654144111607948,2.8942985426037593,-1.0,0.18713212441146138,-0.7656936824026706,2.1619165253574755,5.230089700367513,-2.1037988637909417,4.999926573604264,5.13816585363663,2.995440822407439,-3.8661150681077974,-2.4812426339409637,-0.6493263073457598,-6.325800194134702,-6.476210372102449,-9.406005087079892,0.0,-0.7042066551305998,-0.7112752200050824,-0.9118204390831861,-0.1198241876600422
Corenflos DPF,20,0,8,12.6961467100773,-6120.086459929212,1879.3046485504651,32.60681775118611,76.39481991379796,59,0.0,0.01968503937007874,10.540099149620346,0.47436403924035264,18.428859221373155,-0.01,1.1903186944347626,0.474160902728157,2.1801363905628226,5.246342100797724,-2.0846479340087622,5.0197040608224475,5.1580878530210805,3.015154061125566,-3.871823015840236,-2.49691553666164,-0.6648538929129315,-6.31959177836916,-6.456785974879266,-9.39864435267515,0.3048139405351339,0.1554754968828982,0.14868591941318582,0.12175585552019177,0.26926878764859036,2.3551869500538234,-0.7457802367848693,2.9139178718480796,-1.0,0.17422108171800138,-0.7462085576572328,2.1801363905628226,5.246342100797724,-2.0846479340087622,5.0197040608224475,5.1580878530210805,3.015154061125566,-3.871823015840236,-2.49691553666164,-0.6648538929129315,-6.31959177836916,-6.456785974879266,-9.39864435267515,0.0,-0.6732134165433575,-0.717865401683957,-0.9176837040025387,-0.12399146811763835
Corenflos DPF,20,0,9,13.861207672045566,-6113.15826293863,1889.2700156498433,30.465041384263255,75.34129915236835,55,0.0,0.019646365422396856,10.335719447939121,0.4838722319977804,18.79752265634324,-0.01,1.1734219479343355,0.4834300415143974,2.198905085747517,5.263659781051113,-2.0651508917209487,5.039549240435066,5.178066524345685,3.0350208432439145,-3.872115021911713,-2.510739481659362,-0.6787091752323602,-6.310696238649093,-6.437318036768219,-9.388257000497187,0.30385317357152486,0.16025285225956687,0.14748193550217836,0.12083487813826362,0.2675771605284662,2.3356058034771183,-0.7259343905909367,2.933725087554236,-1.0,0.15992422189778913,-0.7268486663582824,2.198905085747517,5.263659781051113,-2.0651508917209487,5.039549240435066,5.178066524345685,3.0350208432439145,-3.872115021911713,-2.510739481659362,-0.6787091752323602,-6.310696238649093,-6.437318036768219,-9.388257000497187,0.0,-0.6397917086063569,-0.7228389059523932,-0.9221196329229652,-0.12713662774449117
