method,inference_nstep,start,start_type,particles,iterations_requested,updates_completed,termination_reason,elapsed_seconds,initial_pseudo_loglik,final_pseudo_loglik,minimum_ess,maximum_invalid_fraction,total_backtracks,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,global-box,100,5000,69,time-budget,403.57499702699715,-6230.911698240044,-4210.150279976755,1.0008924526651592,0.47,0,10.753286332198577,0.5139345591025839,20.686726201028154,-0.004310838462842516,2.869131247385838,0.493510142877845,1.110215730469884,4.2102674366798505,-3.850556541121571,3.234025655159648,3.66774730061281,1.9925691762860513,-4.098789237001514,-3.8259535964880373,-2.273528860179864,-8.11413623498919,-8.108170455641385,-9.401620295270154,0.2620265240420697,0.13650456954101062,0.18908313598576965,0.15035924638908021,0.2620265240420697,2.3752114131761193,-0.6656593385535021,3.02949224825782,-0.4310838462842516,1.0540092826889662,-0.7062118673758482,1.110215730469884,4.2102674366798505,-3.850556541121571,3.234025655159648,3.66774730061281,1.9925691762860513,-4.098789237001514,-3.8259535964880373,-2.273528860179864,-8.11413623498919,-8.108170455641385,-9.401620295270154,0.0,-0.652087644883181,-0.3262589441543092,-0.5554183287992668,0.0
DS order-1.5 block Gaussian,20,4,global-box,100,5000,69,time-budget,404.65193758701207,-14334.775572021397,-7572.325078057409,1.0,0.55,0,40.0,0.2063147868490914,2.202687069185313,-0.004981351860712224,5.0,0.5,3.125205005886677,5.06176083885234,3.607909686758101,1.186053886988474,6.733870196001844,5.882382401785278,0.0,-5.926229255391104,-3.962688421815669,-6.056878737647287,-8.142229948157864,-1.797631433153129,0.01631063297218432,0.1522164929526793,0.190996890829611,0.3111769491159875,0.3292990341295379,3.6888794541139363,-1.5783521850358937,0.7896780101523332,-0.4981351860712224,1.6094379124341003,-0.6931471805599453,3.125205005886677,5.06176083885234,3.607909686758101,1.186053886988474,6.733870196001844,5.882382401785278,0.0,-5.926229255391104,-3.962688421815669,-6.056878737647287,-8.142229948157864,-1.797631433153129,-3.005149031555978,-0.7716624530355994,-0.544709106740962,-0.05660453767930077,0.0
DS order-1.5 block Gaussian,20,7,global-box,100,5000,69,time-budget,403.4492895780131,-6578.96918012133,-4935.614980547603,1.0065181217387313,0.59,0,11.575785852153734,0.16215604663435831,12.92257834527316,-0.01,4.127872821622164,0.5,2.9733067254868977,5.091900175652926,-0.3796449392619642,3.652867896754826,5.961467198889074,0.0,-8.081295217927806,-2.424357184080137,-4.757383488018492,-10.0,-2.0121834802247,-5.110092435208532,0.19692756411914458,0.10196856826000482,0.28671500121164345,0.28671500121164345,0.12767386519756366,2.448915489862434,-1.8191961565487578,2.5589760407721873,-1.0,1.4177622189891024,-0.6931471805599453,2.9733067254868977,5.091900175652926,-0.3796449392619642,3.652867896754826,5.961467198889074,0.0,-8.081295217927806,-2.424357184080137,-4.757383488018492,-10.0,-2.0121834802247,-5.110092435208532,-0.3756527289493974,-1.0338240837630945,0.0,0.0,-0.8090096109619425
DS order-1.5 block Gaussian,20,8,global-box,100,5000,69,time-budget,404.28565139800776,-9100.794828771066,-3915.834093580017,1.0000014062793459,0.38,0,23.296024232973416,0.21918696425146417,15.854575582047405,-0.003057081663234603,2.6627178127935545,0.450567970881556,2.29128735981168,4.600552987990478,-1.581529408734762,3.95303229481351,3.4880827440708972,3.797847609393916,-4.830847404208143,0.0,-6.571728276514198,-5.898488877033802,-5.298206885360318,-8.764974641665498,0.026096127816633976,0.26756199701818534,0.31283991878099177,0.10579432462586784,0.28770763175832115,3.1482827122340904,-1.5178301953323958,2.763458138918519,-0.3057081663234603,0.9793473353114748,-0.7972463345544093,2.29128735981168,4.600552987990478,-1.581529408734762,3.95303229481351,3.4880827440708972,3.797847609393916,-4.830847404208143,0.0,-6.571728276514198,-5.898488877033802,-5.298206885360318,-8.764974641665498,-2.483904674308669,-0.15634031407824545,0.0,-1.0841947426072451,-0.08374682111642895
