method,inference_nstep,start,target_elapsed_seconds,iteration,elapsed_seconds,training_pseudo_loglik,block_loglik,block_loglik_se,eval_particles,eval_replicates,replicate_logliks
DS order-1.5 block Gaussian,20,0,0,0,7.969361449009739,-6230.911698240044,-6220.728416384535,0.961090512105988,500,4,"[-6225.182964857704, -6222.97556269545, -6219.371962795775, -6228.931781461422]"
DS order-1.5 block Gaussian,20,0,100,16,100.39417657797458,-4796.9469015698505,-4677.414468628398,0.9691111954858163,500,4,"[-4679.785151476566, -4705.712761453855, -4676.051805528079, -4697.891354767185]"
DS order-1.5 block Gaussian,20,0,200,33,197.5319516499876,-4288.937525263642,-4264.149233737014,0.6943301969462651,500,4,"[-4269.094943032836, -4264.243340170812, -4263.053501774739, -4266.542522866122]"
DS order-1.5 block Gaussian,20,0,300,51,300.66933720500674,-4247.8104353157205,-4215.113065294769,0.7819366131184817,500,4,"[-4218.888122258565, -4213.914904986779, -4217.735568070269, -4215.639971539211]"
DS order-1.5 block Gaussian,20,0,400,68,397.9687206170056,-4217.457285993225,-4185.976188039543,0.8929528127937455,500,4,"[-4192.187649118935, -4187.975301037764, -4184.6742750659305, -4187.657037835421]"
DS order-1.5 block Gaussian,20,0,404,69,403.5749335059663,-4210.150279976755,-4191.019854515159,0.8179916476218563,500,4,"[-4191.951881686195, -4189.783687452216, -4195.787834388264, -4192.881902695518]"
DS order-1.5 block Gaussian,20,4,0,0,8.662281880970113,-14334.775572021397,-12960.204568628811,1.0,500,4,"[-13430.004144567938, -13091.028552171552, -13017.76849422865, -12958.81827426769]"
DS order-1.5 block Gaussian,20,4,100,16,100.63292973698117,-10401.631045703647,-9888.518870278025,0.9999657748568659,500,4,"[-9945.354872630702, -9897.702799437317, -10054.349715501266, -9887.132601586312]"
DS order-1.5 block Gaussian,20,4,200,33,197.77770437399158,-11034.698720750413,-10468.590894221239,0.9961620489533304,500,4,"[-10651.57405005456, -10771.638275801204, -10467.20748526002, -10473.054133988171]"
DS order-1.5 block Gaussian,20,4,300,51,301.41358275100356,-8097.392141094346,-7886.291327619985,0.9999999999569564,500,4,"[-7934.247596622111, -7884.905033258898, -7909.061528309121, -7976.439265676099]"
DS order-1.5 block Gaussian,20,4,400,68,399.50013262202265,-7506.366518292642,-7369.794379347098,0.9999999998660375,500,4,"[-7433.242669329002, -7368.408084986078, -7416.9199973961695, -7391.4292281983335]"
DS order-1.5 block Gaussian,20,4,405,69,404.6518788440153,-7572.325078057409,-7394.119496944992,1.0,500,4,"[-7392.733202583871, -7432.782701317223, -7433.363673947353, -7482.083514669961]"
DS order-1.5 block Gaussian,20,7,0,0,8.123414778034203,-6578.96918012133,-6416.354808786285,0.999998021412725,500,4,"[-6428.389449023825, -6439.1187597012095, -6414.968515909107, -6437.563752149443]"
DS order-1.5 block Gaussian,20,7,100,16,100.11748609301867,-5499.069742641431,-5436.528126613542,0.8574211561605812,500,4,"[-5450.019807775821, -5437.332785289017, -5448.185486273047, -5435.260404828742]"
DS order-1.5 block Gaussian,20,7,200,34,202.7764718180406,-5203.648268757205,-5156.504094308791,0.9999999997715745,500,4,"[-5177.608333083631, -5183.51169521267, -5185.671640182534, -5155.117799947842]"
DS order-1.5 block Gaussian,20,7,300,51,300.61509004503023,-5034.354856319276,-4983.507209869458,0.9999999313642528,500,4,"[-5027.972469689741, -5001.611158276458, -4982.120915559815, -4998.97203862379]"
DS order-1.5 block Gaussian,20,7,400,68,398.0108751420048,-4915.826584621469,-4890.2373302973,0.5769157444633842,500,4,"[-4889.49311653565, -4895.631040761716, -4896.094809316439, -4889.601912573163]"
DS order-1.5 block Gaussian,20,7,403,69,403.4492194590275,-4935.614980547603,-4885.7089592898865,0.9975667435878547,500,4,"[-4884.32449265453, -4902.424739165035, -4890.628269049541, -4907.98950168661]"
DS order-1.5 block Gaussian,20,8,0,0,8.316271770978346,-9100.794828771066,-8646.44028232163,0.9999999980331118,500,4,"[-8810.283661564785, -8645.053987961985, -8666.84886076803, -8665.65264230545]"
DS order-1.5 block Gaussian,20,8,100,16,100.13234393601306,-4204.692085059939,-4178.861667029537,0.9369708998369837,500,4,"[-4180.53464477785, -4184.275472668443, -4190.6944273870495, -4177.524602111069]"
DS order-1.5 block Gaussian,20,8,200,34,202.76623250899138,-3990.091042751338,-3981.4997744247653,0.6214491599080951,500,4,"[-3980.480131287978, -3981.5583578458436, -3982.924425557766, -3984.621007233529]"
DS order-1.5 block Gaussian,20,8,300,51,301.03867010597605,-3932.2445596423213,-3933.4885803695815,0.6762249961510522,500,4,"[-3934.025350529566, -3934.889920292527, -3935.3262604620145, -3932.3866690416303]"
DS order-1.5 block Gaussian,20,8,400,68,398.743333728984,-3919.8340230630433,-3907.0340197895357,0.9359940581209083,500,4,"[-3910.3038307146912, -3912.476122880386, -3908.9227970053407, -3905.6973360945826]"
DS order-1.5 block Gaussian,20,8,404,69,404.28554507996887,-3915.834093580017,-3912.1513931494824,0.4838497937122938,500,4,"[-3911.7699770398754, -3913.1639778314993, -3911.395910429981, -3915.2812153103214]"
