method,inference_nstep,start,target_elapsed_seconds,iteration,elapsed_seconds,training_pseudo_loglik,block_loglik,block_loglik_se,eval_particles,eval_replicates,replicate_logliks
DS order-1.5 block Gaussian,20,0,0,0,6.049666267994326,-6230.759840064467,-6214.512298215371,0.9984130759913301,500,4,"[-6222.340507399474, -6219.97096766731, -6223.678039954941, -6213.127195093013]"
DS order-1.5 block Gaussian,20,0,100,28,99.07960713497596,-4230.486542119816,-4155.528169393266,0.7884521341853332,500,4,"[-4155.907537150104, -4163.514868621775, -4167.8457405601375, -4154.329602677368]"
DS order-1.5 block Gaussian,20,0,200,58,199.41942102299072,-4044.1622388194633,-4035.453724483658,0.6068408755432882,500,4,"[-4037.118025970425, -4037.340300248788, -4035.5404668789497, -4034.444973492276]"
DS order-1.5 block Gaussian,20,0,300,88,299.5788991879672,-5208.7852597506735,-4707.543269442602,0.999999186575752,500,4,"[-4720.466669983741, -4783.079077997587, -4752.531602047546, -4706.1569756915505]"
DS order-1.5 block Gaussian,20,0,400,118,400.207963199995,-4126.336688797344,-4094.0139521596143,0.5212399257151402,500,4,"[-4095.2094140955332, -4098.826386000879, -4093.6643403223034, -4093.1938239466394]"
DS order-1.5 block Gaussian,20,4,0,0,6.076134848990478,-11169.302756751138,-10583.179557018386,1.0,500,4,"[-10729.649080370144, -10626.206823067543, -10646.895242976196, -10581.793262657266]"
DS order-1.5 block Gaussian,20,4,100,28,98.89168670901563,-4759.870499427454,-4736.085024749918,0.8905282118312282,500,4,"[-4734.786345256864, -4739.615910451769, -4737.304316285956, -4740.61072838181]"
DS order-1.5 block Gaussian,20,4,200,58,198.33856383000966,-4871.969947787917,-4837.168144181536,0.9999984674766872,500,4,"[-4855.267068823746, -4835.78185096981, -4855.937599800068, -4849.462672007905]"
DS order-1.5 block Gaussian,20,4,300,89,301.5453970580129,-4180.588950808895,-4155.565701215513,0.5483238775315481,500,4,"[-4158.649183100531, -4158.191843171767, -4155.000979665868, -4154.8129249783615]"
DS order-1.5 block Gaussian,20,4,400,119,401.51307067403104,-4059.466982113646,-4037.9114754740626,0.9856992944068227,500,4,"[-4042.1885161107775, -4036.53597338172, -4041.55185316845, -4043.7857452386106]"
DS order-1.5 block Gaussian,20,7,0,0,6.276030212990008,-6751.0948996177885,-6507.875034851156,0.9999999994573995,500,4,"[-6506.488740490443, -6555.8336722756685, -6528.111070341018, -6607.055497095918]"
DS order-1.5 block Gaussian,20,7,100,28,99.15729981201002,-4598.474649764838,-4475.085088107274,0.9999984350246615,500,4,"[-4487.354115919576, -4473.6987949198865, -4523.5433412713755, -4524.904101852246]"
DS order-1.5 block Gaussian,20,7,200,58,199.82842386997072,-4154.389930857073,-4111.3777681276315,0.8096500669113351,500,4,"[-4110.148403905293, -4120.166023996076, -4112.419478058257, -4112.856434018496]"
DS order-1.5 block Gaussian,20,7,300,88,299.5488721560105,-4379.856626583888,-4205.870337326357,1.0,500,4,"[-4282.064736832855, -4255.618931092915, -4204.484042965237, -4272.657553544975]"
DS order-1.5 block Gaussian,20,7,400,118,400.359187465976,-4142.080358274548,-4108.26821104473,0.9999964144558633,500,4,"[-4120.905880234413, -4106.881919372772, -4120.822062054879, -4120.702942746665]"
DS order-1.5 block Gaussian,20,8,0,0,6.269746612000745,-9329.62127233223,-8924.749645553067,1.0,500,4,"[-9002.21681946671, -9041.223774117167, -8923.363351191947, -9063.689082253073]"
DS order-1.5 block Gaussian,20,8,100,28,99.67270192399155,-3963.971110881551,-3958.0381839282045,0.9332500430387088,500,4,"[-3963.1133258804894, -3959.901690616087, -3961.2446117300015, -3956.703677437202]"
DS order-1.5 block Gaussian,20,8,200,58,199.8865049990127,-4860.820434101337,-4633.414649132461,0.9999982655700471,500,4,"[-4663.32409479098, -4659.869572097976, -4632.028356072165, -4645.580868808778]"
DS order-1.5 block Gaussian,20,8,300,88,300.0526309090201,-4013.257671381832,-4005.660484239963,0.6656758372944698,500,4,"[-4005.6826179256395, -4007.683301571674, -4004.599755198501, -4012.444045366522]"
DS order-1.5 block Gaussian,20,8,400,118,400.46683187101735,-3925.1489575126707,-3911.5040283825897,0.5439309090713396,500,4,"[-3913.5638185880507, -3910.96201768777, -3910.7434683738084, -3915.8028483794205]"
