method,inference_nstep,start,start_type,particles,iterations_requested,updates_completed,termination_reason,elapsed_seconds,initial_pseudo_loglik,final_pseudo_loglik,minimum_ess,maximum_invalid_fraction,total_backtracks,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,global-box,100,5000,118,time-budget,400.2081223250134,-6230.759840064467,-4126.336688797344,1.0000000000005898,0.38,0,18.835106794095168,0.33668326038833185,26.98889519089642,-0.0022114857865066086,4.60369493268095,0.5,-0.07371972279660474,6.005858674770303,-3.5738083450755647,3.184437933663662,3.8300524173743997,3.0167058238940654,-2.084161675513424,-4.952474975833843,-4.675429011734915,-9.781700756886893,-6.958922017582032,-8.177002915334265,0.25422340567231816,0.0679269015401479,0.18462021727355385,0.23900606984166195,0.25422340567231816,2.935722511109091,-1.0886126707473953,3.2954254921756587,-0.22114857865066084,1.5268592273004302,-0.6931471805599453,-0.07371972279660474,6.005858674770303,-3.5738083450755647,3.184437933663662,3.8300524173743997,3.0167058238940654,-2.084161675513424,-4.952474975833843,-4.675429011734915,-9.781700756886893,-6.958922017582032,-8.177002915334265,0.0,-1.3197812807094258,-0.319912594901899,-0.061724481896152754,0.0
DS order-1.5 block Gaussian,20,4,global-box,100,5000,119,time-budget,401.51314996700967,-11169.302756751138,-4059.466982113646,1.0000000000000302,0.33999999999999997,0,12.348554282971289,0.6,4.685612280309157,-0.006161812091663511,1.9931619776100091,0.5,0.5648123102754826,4.285217474353381,-0.1599515136076336,0.05014207014268036,4.921741892196872,2.340668130026349,-2.157377330075487,-6.985963945702514,-6.074599276232115,-6.450140805453596,-9.528509906137392,-4.675122564930748,0.02023015934752357,0.18868242432265095,0.2162910196916719,0.27068998593676913,0.30410641070138444,2.513538994114095,-0.5108256237659907,1.5444965966516104,-0.6161812091663511,0.6897223111895846,-0.6931471805599453,0.5648123102754826,4.285217474353381,-0.1599515136076336,0.05014207014268036,4.921741892196872,2.340668130026349,-2.157377330075487,-6.985963945702514,-6.074599276232115,-6.450140805453596,-9.528509906137392,-4.675122564930748,-2.7102031474184245,-0.47731236816794564,-0.3407528611008468,-0.11640347263886834,0.0
DS order-1.5 block Gaussian,20,7,global-box,100,5000,118,time-budget,400.3592991770129,-6751.0948996177885,-4142.080358274548,1.0000000000024372,0.32999999999999996,0,24.286741068714598,0.08083826053399239,10.126614660325627,-0.003586794280514452,3.537320397302655,0.5,3.315201242192273,4.58494312664791,-1.1476692904212207,2.3701913272299397,5.042677789850949,2.4149533044545772,-5.8467144964397715,-0.8577775300427642,-2.9501380794296646,-9.250897788399064,-2.8423317380436797,-2.2003509800050436,0.15937001365597844,0.08932567206444057,0.32365878298795525,0.32100351960925166,0.1066420116823741,3.189930566401217,-2.5153049040706934,2.3151670729029488,-0.3586794280514452,1.2633694905999395,-0.6931471805599453,3.315201242192273,4.58494312664791,-1.1476692904212207,2.3701913272299397,5.042677789850949,2.4149533044545772,-5.8467144964397715,-0.8577775300427642,-2.9501380794296646,-9.250897788399064,-2.8423317380436797,-2.2003509800050436,-0.7084611933670153,-1.2874008942333854,0.0,-0.00823773434110407,-1.1102122819949702
DS order-1.5 block Gaussian,20,8,global-box,100,5000,118,time-budget,400.4669838720001,-9329.62127233223,-3925.1489575126707,1.0000000876365027,0.24999999999999997,0,27.32427616880253,0.14694829607372012,5.592690722838279,-0.0035654571461754465,2.9790044684817376,0.4854443170848524,2.235125144466037,5.431937411785536,-0.6563441396680101,4.083682018789462,3.6183984779511444,4.2695864304603806,-4.174629229355986,-0.06868707074719314,-5.34367579588585,-5.061964199957373,-5.491023492965813,-8.133698677718735,0.08885607647419447,0.382909935728178,0.15092045595466955,0.037569882886765285,0.33974364895619263,3.3077755440064385,-1.9176744814636462,1.7214605171244295,-0.35654571461754464,1.0915891737238899,-0.7226906897236335,2.235125144466037,5.431937411785536,-0.6563441396680101,4.083682018789462,3.6183984779511444,4.2695864304603806,-4.174629229355986,-0.06868707074719314,-5.34367579588585,-5.061964199957373,-5.491023492965813,-8.133698677718735,-1.4607818642531376,0.0,-0.9310468905112027,-2.321597064390514,-0.11960844719985698
