method,inference_nstep,evaluation_nstep,start,fit_converged,evaluation_status,euler_loglik,euler_se,eval_particles,eval_replicates
Published parameter point,0.0,20,0,True,ok,-3747.950208875291,0.17259510632804878,5000,36
DS-Krylov QML,5.0,20,0,True,ok,-3754.0045991471648,0.1503881947703858,5000,36
DS-Krylov QML,10.0,20,0,True,ok,-3754.1236232185,0.22342203252400236,5000,36
DS-Krylov QML,20.0,20,0,True,ok,-3754.0620572922644,0.14256910480502671,5000,36
IFAD-0.97 (paper),,20,-1,True,paper-value,-3744.17,,5000,36
