method,order,inference_nstep,start,start_type,approx_start_loglik,approx_final_loglik,iterations_completed,elapsed_seconds,converged,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS-Krylov QML,6,5,0,published-point,-3934.9439980775846,-3913.075158131181,25,32.48483410303015,True,22.156207838884068,0.06189715809203491,19.708019164340367,-0.0041996438347486655,3.1831985262036615,0.21424573071688727,0.7467212286218415,6.401375497290496,-3.4489792854775243,4.155137446180187,3.3467682878542395,4.600087530355054,-1.7244501215840027,-2.6199186122110127,-2.9106991537706124,-4.704268968539918,-8.446193446335302,-4.312102128739839,0.6388009950585312,0.3591773333824802,0.000938946091510257,0.0010825991464844748,1.2632099398449786e-07,3.098117720831141,-2.7822810116212295,2.9810256170955105,-0.41996438347486653,1.1578865171384105,-1.540631648345086,0.7467212286218415,6.401375497290496,-3.4489792854775243,4.155137446180187,3.3467682878542395,4.600087530355054,-1.7244501215840027,-2.6199186122110127,-2.9106991537706124,-4.704268968539918,-8.446193446335302,-4.312102128739839,0.0,-0.575776742657779,-6.5225901859934154,-6.380228207053023,-15.436277293305483
DS-Krylov QML,6,10,0,published-point,-3924.1693573810962,-3901.120036662623,25,57.239588997967076,True,22.0961612773931,0.06140815927831199,19.409618039861336,-0.004199951767998294,3.1837633721303065,0.21305967486776584,0.746535825945621,6.38791020927772,-3.4793756180052595,4.1592203422688945,3.3442429098209123,4.579296475963877,-1.674165762967431,-2.6097908488666137,-2.8808991441222527,-4.665254005703551,-8.441764197911473,-4.312950072663873,0.6387982322183754,0.359180265487652,0.0009388389719516715,0.0010825373306200554,1.2599140098289934e-07,3.0954038955809717,-2.7902125653888463,2.9657687184639214,-0.41999517679982934,1.1580639474221617,-1.5461829888128011,0.746535825945621,6.38791020927772,-3.4793756180052595,4.1592203422688945,3.3442429098209123,4.579296475963877,-1.674165762967431,-2.6097908488666137,-2.8808991441222527,-4.665254005703551,-8.441764197911473,-4.312950072663873,0.0,-0.5757642542498281,-6.522699952338594,-6.3802809831283165,-15.4388855484986
DS-Krylov QML,6,20,0,published-point,-3921.2148268612277,-3897.330761248687,25,106.77101757400669,True,22.073768703646767,0.061180540743240246,19.237156309836944,-0.004201060729515212,3.1821776207380936,0.21283353739644062,0.7475904224461087,6.382442808279806,-3.493312293594756,4.166454885317563,3.342196164455816,4.569125383313022,-1.6650583067678113,-2.5869838855204335,-2.855207995154033,-4.656603726921728,-8.44020705119621,-4.31341161869211,0.6387656378578661,0.3592132277738577,0.0009386689512957403,0.0010823395881159022,1.2582886441838498e-07,3.0943899670701347,-2.7939261017361603,2.956843633369899,-0.4201060729515212,1.1575657488284932,-1.547244933385126,0.7475904224461087,6.382442808279806,-3.493312293594756,4.166454885317563,3.342196164455816,4.569125383313022,-1.6650583067678113,-2.5869838855204335,-2.855207995154033,-4.656603726921728,-8.44020705119621,-4.31341161869211,0.0,-0.5756214617864491,-6.522830039653959,-6.380412639771706,-15.44012541631734
