model,batch,method,seconds,iterations
IFAD-0,11,mif,19.638631265610456,200
IFAD-0,11,train,51.70546643063426,200
IFAD-0,12,mif,19.56599813979119,200
IFAD-0,12,train,51.694105424918234,200
IFAD-0,13,mif,19.54038416221738,200
IFAD-0,13,train,51.686996733769774,200
IFAD-0,14,mif,19.603005894459784,200
IFAD-0,14,train,51.69465785007924,200
IFAD-0,15,mif,19.528617599979043,200
IFAD-0,15,train,51.66825865767896,200
IFAD-0,16,mif,19.6595948766917,200
IFAD-0,16,train,51.72040573786944,200
IFAD-0,17,mif,19.64038496464491,200
IFAD-0,17,train,51.70889338571578,200
IFAD-0,18,mif,19.499871430918574,200
IFAD-0,18,train,51.69662892166525,200
IFAD-0,19,mif,19.521550027653575,200
IFAD-0,19,train,51.67736018355936,200
IFAD-0,20,mif,19.57072608731687,200
IFAD-0,20,train,51.68241675198078,200
IFAD-0,21,mif,19.39326819125563,200
IFAD-0,21,train,51.67318177781999,200
IFAD-0,22,mif,19.53812537714839,200
IFAD-0,22,train,51.68844281602651,200
IFAD-0,23,mif,19.484599909745157,200
IFAD-0,23,train,51.69760780315846,200
IFAD-0,24,mif,19.524603593163192,200
IFAD-0,24,train,51.69105346594006,200
IFAD-0,-1,pfilter,259.8869801927358,25
MPIF,0,mif,78.31227068416774,680
MPIF,1,mif,62.942868527024984,680
MPIF,2,mif,63.020695737563074,680
MPIF,3,mif,62.79645649436861,680
MPIF,4,mif,62.85554508306086,680
MPIF,5,mif,63.019127250649035,680
MPIF,6,mif,62.958033887669444,680
MPIF,7,mif,62.94256411213428,680
MPIF,8,mif,62.695288052782416,680
MPIF,9,mif,62.80053028650582,680
MPIF,10,mif,62.63003546651453,680
MPIF,11,mif,62.4412535848096,680
MPIF,12,mif,62.562958125025034,680
MPIF,13,mif,62.144125764258206,680
MPIF,14,mif,62.33309496100992,680
MPIF,15,mif,62.294531346298754,680
MPIF,16,mif,62.97047233488411,680
MPIF,17,mif,63.00029321759939,680
MPIF,18,mif,63.072355275042355,680
MPIF,19,mif,63.509407167322934,680
MPIF,20,mif,63.6263152807951,680
MPIF,21,mif,63.851322673261166,680
MPIF,22,mif,63.89049499668181,680
MPIF,23,mif,64.04902145732194,680
MPIF,24,mif,64.31137707550079,680
MPIF,-1,pfilter,227.04752273205668,22
