model,rep,logLik,MCSE,mpif_logLik,gain_from_mpif,ri,rn,f_Si,f_Sn,probi,probn,xi,theta_Sn,theta_Si,theta_P,theta_Ji,theta_Jn,sigSn,sigSi,sigIn,sigIi,sigJi,sigJn,sigF,sigP,k_Ii,k_In,k_Si,k_Sn,theta_In_K,theta_In_L,theta_In_M,theta_In_N,theta_In_O,theta_In_P,theta_In_Q,theta_In_S,theta_Ii_K,theta_Ii_L,theta_Ii_M,theta_Ii_N,theta_Ii_O,theta_Ii_P,theta_Ii_Q,theta_Ii_S,reevaluated_logLik,reevaluated_MCSE,reevaluation_seed,reevaluation_seconds,reevaluation_difference
IFAD-0.97,0,-861.0662768614795,0.15498074544574114,-865.0864558405269,4.020178979047387,81744.99962664618,34.681833969300364,7.039874683240874e-07,0.0012649304390552514,450.24177320050205,0.27947114405534895,22.64138353810887,0.0014456481663087815,0.018086907344776568,0.007566620365445119,7.810725631302486e-05,0.0018671786329899937,0.0,0.0,0.008271713951173605,0.0028931498181410304,0.3306053485606475,0.1146621107406176,0.14166510045722067,0.336841007637352,2.3323246769568833,1.292976495778073,5.3158592976234535,4.4238789529661355,0.8627995170973983,0.7869764003957005,0.5536308896253804,0.45187120430946115,1.2067160739048333,0.5666033979953681,0.29805810620729833,0.2586262125940019,0.3316489608522018,0.2272921842425977,0.621833114077533,0.10601082192901538,0.7944393531004694,0.9975199183085076,0.1986898576623346,0.04578764730231642,,,,,
IFAD-0.97,1,-866.5500326512748,0.16993570835433272,-872.5497141855723,5.999681534297451,8069.73648772559,186.09261701661842,7.769302805753927e-06,0.0005343027163793277,49.26972654162138,0.4891002286907512,47.90538366864781,0.23147729330221636,0.048592994192116226,0.00022687340225489242,0.0003905517838480778,0.0006141420780550996,0.0,0.0,0.002072224018259015,0.004136386334009216,0.3890640795563708,0.29439382656044116,0.003954364520915616,0.2854744232943731,2.3646551751432057,1.4753276957999064,5.521550654863155,4.672668077590028,0.6913903855624568,0.8001948204165404,0.21901158853419722,0.14620883205785268,1.1287020444099118,0.25819231093442097,0.2783868156833008,0.1658086830671244,0.36328939457598874,0.24981198245517255,0.5850858321138912,0.05132689347198197,1.2049097737967331,0.9280873698770895,0.29010298923357153,0.054613719958464105,,,,,
IFAD-0.97,2,-859.1646484422713,0.16860140225883985,-866.7507736566718,7.586125214400454,254.80016683217025,48.30576770704758,0.00022649821142674322,0.001138165047570673,2.7436423129497785,0.40158081440216437,34.97570682722341,0.005320110364615429,0.012864772088311318,0.006970346638282389,1.7400163195167598e-05,0.09178873630132375,0.0,0.0,0.004066351692296667,0.001532403481305453,0.38191357579997487,0.2072079796928708,0.13162000520110084,0.5372328557721205,2.571821657271933,1.4356261080200012,5.347300290718529,4.518526965564969,0.5550910061925237,0.44789618601329706,0.2871918903655543,0.2536533792894382,0.8486733157347935,0.34660616327402827,0.16395499241103542,0.1846308928116046,0.31567265904771163,0.19817911483932701,0.5912522079771128,0.09108390579352008,0.7708480884261493,0.9758075168839968,0.17310330449099265,0.05985736050660405,,,,,
IFAD-0.97,3,-861.4207469141945,0.1753864633858917,-867.7692487428644,6.348501828669896,17908.94698443305,33.465095916010064,3.2523475839819413e-06,0.001343600840595443,106.49334410983856,0.2922491342972258,22.70873756576116,0.0009731679915120547,0.014349343582313046,0.017499663393120618,0.004301967083156965,4.947363391583741e-05,0.0,0.0,0.0022514358249592454,0.04538307874346454,0.3337548004805799,0.20153929558830294,0.14501103664430232,0.35825439653825025,2.4127386492383422,1.2854811720535355,5.176908316701961,4.647881493172364,0.8649547169094683,0.8221814662200293,0.43524416210622136,0.3843357477006932,1.0175094110098901,0.5186254695877327,0.24491118273893328,0.2522917625472318,0.32668145290916095,0.22401060320384344,0.5323930354815747,0.08855057125167112,0.7376961706981983,0.9541494684614001,0.15560468631009458,0.038325950120779995,,,,,
IFAD-0.97,4,-862.0544601476918,0.16598933077925088,-870.9582621576449,8.903802009953097,19654.907631749407,47.346027156143094,3.156247512879299e-06,0.0010474154881372905,101.38561624625785,0.3710031557718172,29.27514948010327,0.02416159175422736,0.027923253360859684,0.01973131298763593,0.0036583347437708033,9.284188204350753e-06,0.0,0.0,0.0022849606604231332,0.00021305919065008207,0.3982656888299822,0.21295186108060724,0.13467958527320395,0.34956006268907963,2.4923002066773665,1.2713326363809365,5.466586705896581,4.788524935877587,0.8790253704074485,0.8156014181526138,0.44000562128496584,0.35862651133994694,1.1903140870205329,0.501553047529989,0.24028405024316235,0.23171509036739735,0.3197087035890344,0.20562768611842708,0.5218252865348638,0.0724673575331548,0.8197237623300119,0.8878093040888263,0.13644481205159112,0.019657694746188302,,,,,
IFAD-0.97,5,-861.6807151732276,0.2131481085471521,-865.9331217298429,4.2524065566153695,1238.060088099182,51.13588797764221,4.373339872692651e-05,0.000942459628699093,11.765275978944311,0.5034993006937826,44.78624785166531,0.02055862037497319,0.010261672157980819,0.02303444310229915,7.162039777805576e-05,1.7177059751646825e-06,0.0,0.0,0.0005009521102097896,0.0004883660292426312,0.42589401170928526,0.35125362208035904,0.09986176264207575,0.4810518265944353,2.628835771369098,1.3241551458704037,5.365435156868899,4.808010488648381,0.7076882804405562,0.6036026344017033,0.2848448727505914,0.24591586867265883,0.9415592758321216,0.386863926603556,0.1636738967516951,0.21189098912981003,0.3178225106044103,0.20434937516031731,0.4879750355774717,0.06544175041218282,0.8231918574845216,0.8887118038271966,0.12928975205078128,0.043877748740988515,,,,,
IFAD-0.97,6,-861.3978166412708,0.21004558503074763,-866.0345579938225,4.63674135255178,18886.685667013364,89.66913345949497,2.8236512593790427e-06,0.0007438703742152535,109.54049194025272,0.4714362974394817,39.8739369402937,0.09351593696350163,0.007650284308248574,0.0011697794665108713,0.0005685595498454564,0.001378300952641158,0.0,0.0,3.749766471191202e-05,0.0013412165769118194,0.41919733920568913,0.14747381837346968,0.12373793233831076,0.37484749094225306,2.76185556807015,1.317677857125234,5.252631797786896,4.69212847496895,0.9608333132323758,0.8925231158785616,0.5076023511415284,0.297682937009294,1.737518190943249,0.5224039127688733,0.21506056137111346,0.23838707461716951,0.3377645594407836,0.22813867125747703,0.8001003363613234,0.06814495793218994,1.0101385045298583,1.0084814244763878,0.13824491779659967,0.031951967891734566,,,,,
IFAD-0.97,7,-860.8914427553711,0.16308412591043683,-870.8693618241739,9.977919068802748,19098.92571762123,51.357559668352856,2.8467939338912183e-06,0.001150845470856808,98.08495550103964,0.24978298013910516,20.07655800102851,0.050580370238625334,0.0020516359920100574,0.00019595453494895764,0.0039058458289548768,0.0008469439202683784,0.0,0.0,8.100324928116405e-05,0.001998986352001097,0.32587983816306054,0.17512206947773215,0.14429740916801592,0.2704029220675779,1.8828999743305608,1.274782115888057,5.119971825157657,4.6494507575544795,0.9191962260594081,0.9729560991786139,0.46784715656081843,0.38038088264255787,1.140079173230611,0.5552649059392533,0.22645349647325946,0.2594408540339579,0.3576609640080472,0.24401869853260022,0.6422450345627051,0.09775539784350605,0.7687263288163028,1.125810786462335,0.17158944412441662,0.061794571468487984,,,,,
IFAD-0.97,8,-862.6860462360979,0.1615710966537752,-871.6549235731347,8.968877337036815,24674.333828761326,64.99439082043156,2.051093292726662e-06,0.0006634769707516472,114.28381634679315,0.48074347550812163,40.04950383546051,0.0018094934232783446,0.0006365761556814827,0.0004369436869657612,7.576915724827285e-06,7.517744144131574e-05,0.0,0.0,0.07196594819145312,0.006633840599414759,0.4028822198472943,0.12334103403599012,0.16696711715052212,0.2813179257703007,2.430081667239491,1.171525764346891,5.127701980210446,4.586765927771006,1.1136389733842895,1.0138096108573,0.6814467656661343,0.5278335933613703,1.6431603734342564,0.7058572659030725,0.34132365459275094,0.3147751003217597,0.3500394876137574,0.24122989683418777,0.6412279805966379,0.10031527998710602,0.9121987294900784,1.084848458606983,0.178119059851494,0.05473122795654578,,,,,
IFAD-0.97,9,-861.8669092387552,0.13489987621411603,-870.1415441855729,8.274634946817741,8104.974183286806,42.51258104189143,6.513490166010144e-06,0.0010458012731555187,39.00900142675477,0.2786717472416117,22.81075634242022,0.0019860269534246093,0.00046788012890935194,0.0007934820764277105,4.59049520082665e-05,0.0022945916584542966,0.0,0.0,0.00015858523877291403,0.09991750472757845,0.3739465803055674,0.0015870206817773745,0.16008235480414792,0.2416146592010633,2.3111723727190205,1.197760444020938,5.214634488641462,4.302825887970237,0.9047448838073775,0.8322823118905303,0.7374905966181141,0.5900354291813812,1.4636536479044266,0.6686590426102195,0.3395003807967994,0.28670307402396256,0.3493640379326381,0.23680498905462066,0.8445767008420949,0.13303231544049757,0.8784104278228739,1.1272470616767503,0.2196277121693446,0.061407406386514804,,,,,
