method,inference_nstep,start,target_elapsed_seconds,iteration,elapsed_seconds,training_pseudo_loglik,block_loglik,block_loglik_se,eval_particles,eval_replicates,replicate_logliks
DS order-1.5 block Gaussian,20,0,0,0,5.929046752047725,-6230.759840064467,-6214.512298215371,0.9984130759913301,500,4,"[-6222.340507399474, -6219.97096766731, -6223.678039954941, -6213.127195093013]"
DS order-1.5 block Gaussian,20,0,100,28,98.61986589001026,-4230.486542119816,-4155.528169393266,0.7884521341853332,500,4,"[-4155.907537150104, -4163.514868621775, -4167.8457405601375, -4154.329602677368]"
DS order-1.5 block Gaussian,20,0,200,58,198.4067968770396,-4044.1622388194633,-4035.453724483658,0.6068408755432882,500,4,"[-4037.118025970425, -4037.340300248788, -4035.5404668789497, -4034.444973492276]"
DS order-1.5 block Gaussian,20,0,300,88,298.52652617701096,-3977.814068022758,-3952.4004478804723,0.3119769078156959,500,4,"[-3954.838821611635, -3952.29688407304, -3952.0563107822645, -3952.0691255327342]"
DS order-1.5 block Gaussian,20,0,400,118,399.332530907006,-3941.9155477710683,-3922.7800902144513,0.999751161684042,500,4,"[-3921.393982504732, -3932.1073655737637, -3932.2865781947253, -3930.2270639722874]"
DS order-1.5 block Gaussian,20,0,402,119,402.1636037330027,-3948.5280498417706,-3927.223524252961,0.5253789345962226,500,4,"[-3928.3401575400294, -3929.0009818997823, -3927.193007903823, -3926.3182679015076]"
DS order-1.5 block Gaussian,20,4,0,0,5.906983664026484,-11169.302756751138,-10583.179557018386,1.0,500,4,"[-10729.649080370144, -10626.206823067543, -10646.895242976196, -10581.793262657266]"
DS order-1.5 block Gaussian,20,4,100,28,98.46804426098242,-4759.870499427454,-4736.085024749918,0.8905282118312282,500,4,"[-4734.786345256864, -4739.615910451769, -4737.304316285956, -4740.61072838181]"
DS order-1.5 block Gaussian,20,4,200,58,199.37795527098933,-4871.969947787917,-4837.168144181536,0.9999984674766872,500,4,"[-4855.267068823746, -4835.78185096981, -4855.937599800068, -4849.462672007905]"
DS order-1.5 block Gaussian,20,4,300,88,299.74447275098646,-4816.481258832285,-4785.282690096065,0.6847942723522055,500,4,"[-4790.8628304820395, -4791.303405096333, -4785.198318711855, -4784.215992666945]"
DS order-1.5 block Gaussian,20,4,400,118,400.56316577398684,-4788.336892495039,-4752.892841427737,0.9991902102232592,500,4,"[-4761.553370856784, -4751.507154646582, -4760.742259402273, -4759.176633333802]"
DS order-1.5 block Gaussian,20,7,0,0,5.709934870013967,-6751.0948996177885,-6507.875034851156,0.9999999994573995,500,4,"[-6506.488740490443, -6555.8336722756685, -6528.111070341018, -6607.055497095918]"
DS order-1.5 block Gaussian,20,7,100,28,98.4568382120342,-4598.474649764838,-4475.085088107274,0.9999984350246615,500,4,"[-4487.354115919576, -4473.6987949198865, -4523.5433412713755, -4524.904101852246]"
DS order-1.5 block Gaussian,20,7,200,59,201.40092486003414,-4128.566990123389,-4092.4897693366142,0.8554947391910751,500,4,"[-4093.2802199172525, -4108.155632285905, -4091.2238477635083, -4109.656787379563]"
DS order-1.5 block Gaussian,20,7,300,89,301.3807796960464,-4079.3288052780613,-4050.9659040081397,0.9887802538117786,500,4,"[-4061.229010881064, -4054.355593991736, -4049.58808419523, -4064.8476230554156]"
DS order-1.5 block Gaussian,20,7,400,118,398.72038505400997,-4051.1841193491205,-4031.1942349502997,0.7788729104597961,500,4,"[-4040.183856794694, -4030.006207201952, -4031.5237534750586, -4045.370483625333]"
DS order-1.5 block Gaussian,20,7,402,119,401.76123825105606,-4079.596091206423,-4028.1654644568666,0.6958515481820706,500,4,"[-4028.1795954724403, -4027.0760040564537, -4034.8909909513527, -4031.3802943699347]"
DS order-1.5 block Gaussian,20,8,0,0,6.1279982079868205,-9329.62127233223,-8924.749645553067,1.0,500,4,"[-9002.21681946671, -9041.223774117167, -8923.363351191947, -9063.689082253073]"
DS order-1.5 block Gaussian,20,8,100,28,99.92114500998287,-3963.971110881551,-3958.0381839282045,0.9332500430387088,500,4,"[-3963.1133258804894, -3959.901690616087, -3961.2446117300015, -3956.703677437202]"
DS order-1.5 block Gaussian,20,8,200,58,200.09922067495063,-4860.820434101337,-4633.414649132461,0.9999982655700471,500,4,"[-4663.32409479098, -4659.869572097976, -4632.028356072165, -4645.580868808778]"
DS order-1.5 block Gaussian,20,8,300,88,300.5555464079953,-4466.902776112632,-4345.621813933034,0.9856731694240307,500,4,"[-4352.198465509269, -4344.246358848924, -4393.543465208944, -4348.798337637771]"
DS order-1.5 block Gaussian,20,8,400,118,401.2738133899984,-4364.980132900086,-4252.235646204001,0.9999999999999988,500,4,"[-4302.655758751723, -4250.84935184288, -4294.417310497018, -4285.616882233743]"
