method,inference_nstep,start,start_type,particles,iterations_requested,updates_completed,termination_reason,elapsed_seconds,initial_pseudo_loglik,final_pseudo_loglik,minimum_ess,maximum_invalid_fraction,total_backtracks,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,global-box,100,5000,119,time-budget,402.1637593090418,-6230.759840064467,-3948.5280498417706,1.0000000000118767,0.24,0,14.374118539232875,0.5330252832355963,30.000000000000004,-0.002494741879230183,1.8756019900526535,0.4565752147823953,0.5167267674751265,5.522122089268226,-3.6575807136951606,2.6852889911326887,3.9193666610329623,3.4589143742373034,-2.701728517331916,-5.277013125602735,-4.089534278716168,-9.569622500762025,-8.08222166562332,-8.181738796606398,0.2447039853890182,0.09347643636323454,0.2082288079940339,0.20888678486469534,0.2447039853890182,2.6654292657934398,-0.6291864202272661,3.4011973816621555,-0.2494741879230183,0.6289296692546195,-0.7840018284833016,0.5167267674751265,5.522122089268226,-3.6575807136951606,2.6852889911326887,3.9193666610329623,3.4589143742373034,-2.701728517331916,-5.277013125602735,-4.089534278716168,-9.569622500762025,-8.08222166562332,-8.181738796606398,0.0,-0.9623398701256342,-0.16141174361777072,-0.15825685117221217,0.0
DS order-1.5 block Gaussian,20,4,global-box,100,5000,118,time-budget,400.56332445301814,-11169.302756751138,-4788.336892495039,1.0000000000000302,0.33999999999999997,0,15.90588788997393,0.5447861928765326,3.660868229971757,-0.0013016172770507059,4.9462717026245375,0.5,1.6995306488707136,4.60658908796084,1.2525633154841358,0.07446452804257628,6.356367231185446,4.203648637694751,-0.8256928027984545,-6.316114237582024,-4.965178165967831,-5.876802852247481,-8.580718839448284,-3.162735189863251,0.019076653053906226,0.17790092368574398,0.19028786734239767,0.29343245345302194,0.3193021024649302,2.7666893482247987,-0.607361867939842,1.2977003405845091,-0.1301617277050706,1.5986341014004741,-0.6931471805599453,1.6995306488707136,4.60658908796084,1.2525633154841358,0.07446452804257628,6.356367231185446,4.203648637694751,-0.8256928027984545,-6.316114237582024,-4.965178165967831,-5.876802852247481,-8.580718839448284,-3.162735189863251,-2.8176724501348565,-0.5849108974847839,-0.5175996674623332,-0.08449021308126793,0.0
DS order-1.5 block Gaussian,20,7,global-box,100,5000,119,time-budget,401.7614537810441,-6751.0948996177885,-4079.596091206423,1.0000000000015241,0.32999999999999996,0,18.987445846063498,0.1076595685374073,11.762502185917832,-0.0030238355690704716,2.3018804865601763,0.5,2.939111325095001,4.398549982133783,-1.4209560759072242,2.2881334254563757,4.966293952267972,1.840290464635605,-6.1565978863516815,-1.484736652242734,-4.189228081715775,-9.90350399812844,-2.977660112513661,-2.546802052410087,0.18979188787185317,0.10491708100618159,0.2923841886731932,0.29039011611730986,0.12251672633146228,2.943778015834269,-2.2287811734980094,2.464916690749341,-0.30238355690704716,0.8337263917322132,-0.6931471805599453,2.939111325095001,4.398549982133783,-1.4209560759072242,2.2881334254563757,4.966293952267972,1.840290464635605,-6.1565978863516815,-1.484736652242734,-4.189228081715775,-9.90350399812844,-2.977660112513661,-2.546802052410087,-0.4321405072472353,-1.024898318634998,0.0,-0.00684340514575983,-0.8698210899633039
DS order-1.5 block Gaussian,20,8,global-box,100,5000,118,time-budget,401.2738919509575,-9329.62127233223,-4364.980132900086,1.0000000876365027,0.24999999999999997,0,38.92007838902166,0.1024591004397399,8.427445200459495,-0.0034114215318921236,3.307116341219807,0.5,2.4237886579712327,5.733972736098139,-0.5916857703193577,4.496320322806694,3.891841108739697,4.365355382976817,-4.070803760369146,0.0,-5.585955252841665,-5.079416737106386,-5.300151489743905,-8.08671107988057,0.0721183741883932,0.3585714255241166,0.1592162268657372,0.03958355282697208,0.37051042059478106,3.6615102714221908,-2.278291580133476,2.131493665637954,-0.34114215318921237,1.1960766136710788,-0.6931471805599453,2.4237886579712327,5.733972736098139,-0.5916857703193577,4.496320322806694,3.891841108739697,4.365355382976817,-4.070803760369146,0.0,-5.585955252841665,-5.079416737106386,-5.300151489743905,-8.08671107988057,-1.636572715166349,-0.03275369553047538,-0.8446183743378884,-2.2364678707687924,0.0
