method,inference_nstep,evaluation_nstep,start,updates_completed,termination_reason,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,79,50,time-budget,-5006.716057468854,0.09779571013667542,5000,36,32715234,ok
DS order-1.5 block Gaussian,20,20,80,52,time-budget,-3971.0865203476624,0.12742547489576378,5000,36,32716231,ok
DS order-1.5 block Gaussian,20,20,81,52,time-budget,-3878.5882089410543,0.10348858650433147,5000,36,32717228,ok
DS order-1.5 block Gaussian,20,20,82,50,time-budget,-5323.938078283823,4.954423271363752,5000,36,32718225,ok
DS order-1.5 block Gaussian,20,20,83,42,time-budget,-4009.358813198419,0.16680657539626625,5000,36,32719222,ok
DS order-1.5 block Gaussian,20,20,84,57,time-budget,-3928.5520767196285,0.3916705621169053,5000,36,32720219,ok
DS order-1.5 block Gaussian,20,20,85,55,time-budget,-4013.6942863406025,0.14011243127540426,5000,36,32721216,ok
DS order-1.5 block Gaussian,20,20,86,46,time-budget,-4061.5893352299095,0.12931135526674692,5000,36,32722213,ok
DS order-1.5 block Gaussian,20,20,87,54,time-budget,-3982.7727598014635,0.4933776034878374,5000,36,32723210,ok
DS order-1.5 block Gaussian,20,20,88,51,time-budget,-4123.807749581135,1.2067625625699032,5000,36,32724207,ok
DS order-1.5 block Gaussian,20,20,89,52,time-budget,-4170.7990598554225,0.23857490165691284,5000,36,32725204,ok
DS order-1.5 block Gaussian,20,20,90,53,time-budget,-5095.859053078612,0.11747736855985458,5000,36,32726201,ok
DS order-1.5 block Gaussian,20,20,91,57,time-budget,-4180.172671576344,0.2020210773491295,5000,36,32727198,ok
DS order-1.5 block Gaussian,20,20,92,59,time-budget,-3975.916543262119,0.219156860756936,5000,36,32728195,ok
DS order-1.5 block Gaussian,20,20,93,64,time-budget,-3997.994761717049,0.2581459002101862,5000,36,32729192,ok
DS order-1.5 block Gaussian,20,20,94,53,time-budget,-4043.516405003319,0.21419548520923906,5000,36,32730189,ok
DS order-1.5 block Gaussian,20,20,95,52,time-budget,-3984.197678177531,0.1146644006511586,5000,36,32731186,ok
DS order-1.5 block Gaussian,20,20,96,97,time-budget,-3875.661568462995,0.12539308261396298,5000,36,32732183,ok
DS order-1.5 block Gaussian,20,20,97,109,time-budget,-3952.5711403378937,0.09600946571821739,5000,36,32733180,ok
DS order-1.5 block Gaussian,20,20,98,3,non-finite-path-or-score,-15214.922832783133,36.721971876232445,5000,36,32734177,ok
DS order-1.5 block Gaussian,20,20,99,64,time-budget,-4201.354699955127,0.09680452372423272,5000,36,32735174,ok
