method,inference_nstep,evaluation_nstep,start,updates_completed,termination_reason,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
DS order-1.5 block Gaussian,20,20,53,252,time-budget,-3763.814182756212,0.11376301682548352,5000,36,32684712,ok
DS order-1.5 block Gaussian,20,20,54,252,time-budget,-3763.4747709978087,0.16730321780614402,5000,36,32685709,ok
DS order-1.5 block Gaussian,20,20,55,252,time-budget,-3758.2832939750433,0.22624732563030142,5000,36,32686706,ok
DS order-1.5 block Gaussian,20,20,56,252,time-budget,-3769.595777029862,0.10740094402444032,5000,36,32687703,ok
DS order-1.5 block Gaussian,20,20,57,252,time-budget,-3764.4361971660965,0.19881033065696152,5000,36,32688700,ok
DS order-1.5 block Gaussian,20,20,58,252,time-budget,-3785.1625214985374,0.2856591386170698,5000,36,32689697,ok
DS order-1.5 block Gaussian,20,20,59,252,time-budget,-3801.285036048614,0.2564735940601894,5000,36,32690694,ok
DS order-1.5 block Gaussian,20,20,60,253,time-budget,-3776.584261278339,0.199847987344187,5000,36,32691691,ok
DS order-1.5 block Gaussian,20,20,61,252,time-budget,-3777.5336866143766,0.10641991131085596,5000,36,32692688,ok
DS order-1.5 block Gaussian,20,20,62,252,time-budget,-3772.800374312537,0.1356183922476852,5000,36,32693685,ok
DS order-1.5 block Gaussian,20,20,63,252,time-budget,-3834.876847020166,0.2564843045949,5000,36,32694682,ok
DS order-1.5 block Gaussian,20,20,64,252,time-budget,-3774.6858391217093,0.1817043455700683,5000,36,32695679,ok
DS order-1.5 block Gaussian,20,20,65,252,time-budget,-3763.2635395498437,0.18903211887824528,5000,36,32696676,ok
DS order-1.5 block Gaussian,20,20,66,252,time-budget,-3780.8901213691984,0.16451144530714232,5000,36,32697673,ok
DS order-1.5 block Gaussian,20,20,67,252,time-budget,-3774.33170178197,0.11644929376680493,5000,36,32698670,ok
DS order-1.5 block Gaussian,20,20,68,252,time-budget,-3776.32344356253,0.15000816589534918,5000,36,32699667,ok
DS order-1.5 block Gaussian,20,20,69,252,time-budget,-3767.762947764346,0.18043095095975942,5000,36,32700664,ok
DS order-1.5 block Gaussian,20,20,70,253,time-budget,-3762.4914083217004,0.1508020050880089,5000,36,32701661,ok
DS order-1.5 block Gaussian,20,20,71,251,time-budget,-3777.559495072401,0.13852264432647582,5000,36,32702658,ok
DS order-1.5 block Gaussian,20,20,72,252,time-budget,-3754.339427083772,0.13893512589012635,5000,36,32703655,ok
DS order-1.5 block Gaussian,20,20,73,252,time-budget,-3764.590031468666,0.18677477579930127,5000,36,32704652,ok
DS order-1.5 block Gaussian,20,20,74,252,time-budget,-3773.9255750082525,0.2330858495689475,5000,36,32705649,ok
DS order-1.5 block Gaussian,20,20,75,252,time-budget,-3757.414454506226,0.200734511754818,5000,36,32706646,ok
DS order-1.5 block Gaussian,20,20,76,252,time-budget,-3769.677995456778,0.18158152422865512,5000,36,32707643,ok
DS order-1.5 block Gaussian,20,20,77,252,time-budget,-3753.8415304936925,0.18757011535372037,5000,36,32708640,ok
DS order-1.5 block Gaussian,20,20,78,252,time-budget,-3833.0648271003065,0.1853360773846828,5000,36,32709637,ok
DS order-1.5 block Gaussian,20,20,79,252,time-budget,-3757.9194177304425,0.17239823299705354,5000,36,32710634,ok
DS order-1.5 block Gaussian,20,20,80,253,time-budget,-3770.4446601552986,0.1738635638949706,5000,36,32711631,ok
DS order-1.5 block Gaussian,20,20,81,252,time-budget,-3774.1528951339187,0.14089193128506444,5000,36,32712628,ok
DS order-1.5 block Gaussian,20,20,82,252,time-budget,-3765.635885962679,0.2627831303467575,5000,36,32713625,ok
