method,inference_nstep,start,target_elapsed_seconds,iteration,elapsed_seconds,training_pseudo_loglik,block_loglik,block_loglik_se,eval_particles,eval_replicates,replicate_logliks
DS order-1.5 block Gaussian,20,0,0,0,6.647335549001582,-6230.759840064467,-6214.512298215371,0.9984130759913301,500,4,"[-6222.340507399474, -6219.97096766731, -6223.678039954941, -6213.127195093013]"
DS order-1.5 block Gaussian,20,0,100,28,98.94388452003477,-4230.486542119816,-4155.528169393266,0.7884521341853332,500,4,"[-4155.907537150104, -4163.514868621775, -4167.8457405601375, -4154.329602677368]"
DS order-1.5 block Gaussian,20,0,200,58,198.82737439800985,-4044.1622388194633,-4035.453724483658,0.6068408755432882,500,4,"[-4037.118025970425, -4037.340300248788, -4035.5404668789497, -4034.444973492276]"
DS order-1.5 block Gaussian,20,0,300,88,298.9354683569982,-5208.7852597506735,-4707.543269442602,0.999999186575752,500,4,"[-4720.466669983741, -4783.079077997587, -4752.531602047546, -4706.1569756915505]"
DS order-1.5 block Gaussian,20,0,400,118,399.4152042780188,-4166.89387805691,-4157.125327139871,0.5450220661973931,500,4,"[-4156.437857701638, -4159.593474669369, -4160.674268793469, -4156.484617825696]"
DS order-1.5 block Gaussian,20,0,403,119,402.7050803810125,-4175.6074888741405,-4148.79184867977,0.24050437019199833,500,4,"[-4149.110859685998, -4149.418149446899, -4148.683713930877, -4148.306729279149]"
DS order-1.5 block Gaussian,20,4,0,0,5.991063784982543,-11169.302756751138,-10583.179557018386,1.0,500,4,"[-10729.649080370144, -10626.206823067543, -10646.895242976196, -10581.793262657266]"
DS order-1.5 block Gaussian,20,4,100,28,99.47647877200507,-4759.870499427454,-4736.085024749918,0.8905282118312282,500,4,"[-4734.786345256864, -4739.615910451769, -4737.304316285956, -4740.61072838181]"
DS order-1.5 block Gaussian,20,4,200,58,199.5850295209675,-4871.969947787917,-4837.168144181536,0.9999984674766872,500,4,"[-4855.267068823746, -4835.78185096981, -4855.937599800068, -4849.462672007905]"
DS order-1.5 block Gaussian,20,4,300,88,299.9705313749728,-4225.073151458502,-4175.835331099099,0.9912222239049578,500,4,"[-4197.606103486046, -4202.149217936326, -4179.470029732368, -4174.45565657261]"
DS order-1.5 block Gaussian,20,4,400,118,401.05852893396514,-4078.6096801613917,-4055.2864339926805,0.8285343241564542,500,4,"[-4055.9524670427345, -4054.0451061195763, -4058.934178427552, -4068.177764386051]"
DS order-1.5 block Gaussian,20,7,0,0,6.135452085989527,-6751.0948996177885,-6507.875034851156,0.9999999994573995,500,4,"[-6506.488740490443, -6555.8336722756685, -6528.111070341018, -6607.055497095918]"
DS order-1.5 block Gaussian,20,7,100,28,98.82209024595795,-4598.474649764838,-4475.085088107274,0.9999984350246615,500,4,"[-4487.354115919576, -4473.6987949198865, -4523.5433412713755, -4524.904101852246]"
DS order-1.5 block Gaussian,20,7,200,58,198.5094358350034,-4154.389930857073,-4111.3777681276315,0.8096500669113351,500,4,"[-4110.148403905293, -4120.166023996076, -4112.419478058257, -4112.856434018496]"
DS order-1.5 block Gaussian,20,7,300,88,298.40899131196784,-4379.856626583888,-4205.870337326357,1.0,500,4,"[-4282.064736832855, -4255.618931092915, -4204.484042965237, -4272.657553544975]"
DS order-1.5 block Gaussian,20,7,400,118,399.08137454499956,-4047.1929316642254,-4033.534499773929,0.5399293004669825,500,4,"[-4033.8785844461518, -4036.2892452592682, -4033.9357698192644, -4032.5952597490364]"
DS order-1.5 block Gaussian,20,7,402,119,402.18755298899487,-4043.8508749603543,-4028.062293006719,0.39484299708381987,500,4,"[-4027.583935441243, -4027.531547401119, -4030.622968801139, -4028.5580236595833]"
DS order-1.5 block Gaussian,20,8,0,0,5.867766676994506,-9329.62127233223,-8924.749645553067,1.0,500,4,"[-9002.21681946671, -9041.223774117167, -8923.363351191947, -9063.689082253073]"
DS order-1.5 block Gaussian,20,8,100,28,98.38297970895655,-3963.971110881551,-3958.0381839282045,0.9332500430387088,500,4,"[-3963.1133258804894, -3959.901690616087, -3961.2446117300015, -3956.703677437202]"
DS order-1.5 block Gaussian,20,8,200,59,201.55338618496899,-4666.907946372636,-4536.451694655605,0.995911141302401,500,4,"[-4546.972327532965, -4563.351276108791, -4540.853749699501, -4535.06847479328]"
DS order-1.5 block Gaussian,20,8,300,88,298.3470604219474,-4013.257671381832,-4005.660484239963,0.6656758372944698,500,4,"[-4005.6826179256395, -4007.683301571674, -4004.599755198501, -4012.444045366522]"
DS order-1.5 block Gaussian,20,8,400,118,398.80826885596616,-3889.4654808032965,-3882.298412241302,0.4632534175787249,500,4,"[-3881.5689315864556, -3881.9107481173414, -3883.7554253894814, -3883.8146738288697]"
DS order-1.5 block Gaussian,20,8,402,119,402.0487752649933,-3887.209278810982,-3881.7410994978436,0.8218513602594881,500,4,"[-3882.914780899346, -3887.041216052902, -3883.220450574503, -3880.500409956274]"
