particles,parameter_set,replicate,includes_compilation,elapsed_seconds,pseudo_loglik,gradient_norm,resampling_count,minimum_ess,maximum_invalid_fraction
100,reference,0,True,7.537772753974423,-3800.182250325616,2641.2530494282396,430,1.004222189828061,0.0
100,reference,1,False,3.983177899965085,-3808.2216163611874,2762.698721599868,421,1.0207609705933307,0.0
100,reference,2,False,4.008845523931086,-3815.647736199388,480.17694544526745,424,1.0000004261491775,0.0
100,box-start-0,0,False,1.4821609400678426,-6231.846590954429,4530.418993855281,96,10.44944007712741,0.0
100,box-start-0,1,False,1.4909576249774545,-6234.037894141077,4825.944114388813,97,2.4958597123101995,0.0
100,box-start-0,2,False,1.49025857495144,-6235.376078571226,3716.8571949226694,97,11.225724275245716,0.0
250,reference,0,True,10.18222470395267,-3801.200014130435,9867.974425487995,429,1.0520517434288885,0.004
250,reference,1,False,6.898552628932521,-3789.6246300180624,2447.3790245115147,430,1.3957074828276927,0.0
250,reference,2,False,6.688184099039063,-3787.9396280759993,9050.287532681217,415,1.0097422432578032,0.0
250,box-start-0,0,False,2.2550174510106444,-6232.184563784185,13914.992726309363,100,16.894863718700186,0.0
250,box-start-0,1,False,2.2403212409699336,-6231.875439807845,13282.517067662988,99,14.94329852720882,0.0
250,box-start-0,2,False,2.2548057470703498,-6232.220072069227,11192.709990922722,100,23.42689350290894,0.0
