method,inference_nstep,evaluation_nstep,start,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
Corenflos DPF,20,20,69,-4349.953752978044,0.35351131426956356,5000,36,70700379,ok
Corenflos DPF,20,20,70,-5129.565724520096,0.301194231177644,5000,36,70701376,ok
Corenflos DPF,20,20,71,-24663.735336379523,0.02946738722119825,5000,36,70702373,ok
Corenflos DPF,20,20,72,-4330.272723849793,0.7421727037563604,5000,36,70703370,ok
Corenflos DPF,20,20,73,-4321.473014179573,0.4408884764410518,5000,36,70704367,ok
Corenflos DPF,20,20,74,-4619.551031486488,1.25624875144111,5000,36,70705364,ok
Corenflos DPF,20,20,75,-7659.593484207734,18.65968654473982,5000,36,70706361,ok
Corenflos DPF,20,20,76,-4220.862024492868,0.19291629152117618,5000,36,70707358,ok
Corenflos DPF,20,20,77,-5178.756918645246,0.3749957358510121,5000,36,70708355,ok
Corenflos DPF,20,20,78,-4890.143852716749,0.1771181138964947,5000,36,70709352,ok
Corenflos DPF,20,20,79,-5560.257493437376,0.26060237259621943,5000,36,70710349,ok
Corenflos DPF,20,20,80,-4025.2914708539743,0.10439613739538364,5000,36,70711346,ok
Corenflos DPF,20,20,81,-4321.274471587141,0.23148087011087826,5000,36,70712343,ok
Corenflos DPF,20,20,82,-5296.792901686709,0.18186910135008286,5000,36,70713340,ok
Corenflos DPF,20,20,83,-4114.860948834698,0.09215998817739167,5000,36,70714337,ok
Corenflos DPF,20,20,84,-4257.796625666492,0.32739059182670144,5000,36,70715334,ok
Corenflos DPF,20,20,85,-4233.443657908578,0.23115634991818568,5000,36,70716331,ok
Corenflos DPF,20,20,86,-6316.2403215993645,0.059349248371878605,5000,36,70717328,ok
Corenflos DPF,20,20,87,-5017.119712368027,0.06692911400167845,5000,36,70718325,ok
Corenflos DPF,20,20,88,-6159.047437541703,0.02970465497562541,5000,36,70719322,ok
Corenflos DPF,20,20,89,-4538.429824726248,0.2624555421124552,5000,36,70720319,ok
Corenflos DPF,20,20,90,-4145.073345033296,0.10577921512589147,5000,36,70721316,ok
Corenflos DPF,20,20,91,-4556.109798024229,0.262783785123576,5000,36,70722313,ok
Corenflos DPF,20,20,92,-4331.028974073556,0.1311515279882105,5000,36,70723310,ok
Corenflos DPF,20,20,93,-4038.6651709109087,0.08891676313319505,5000,36,70724307,ok
Corenflos DPF,20,20,94,-5016.807355458367,2.1627312755959136,5000,36,70725304,ok
Corenflos DPF,20,20,95,-4120.2079441079995,0.10054928236940955,5000,36,70726301,ok
Corenflos DPF,20,20,96,-6068.316342717816,0.05112187881390141,5000,36,70727298,ok
Corenflos DPF,20,20,97,-5743.50440605496,0.2412210515361207,5000,36,70728295,ok
Corenflos DPF,20,20,98,-4259.480198528092,0.1489108998288814,5000,36,70729292,ok
Corenflos DPF,20,20,99,-4705.142742411733,1.0033649448903084,5000,36,70730289,ok
