method,order,inference_nstep,start,iteration,approx_loglik,gradient_norm
DS-local+nugget QML,2,20,0,3,-3912.586038270344,361.0229014934225
DS-local+nugget QML,2,20,0,4,-3910.5516201416785,302.68524764300554
DS-local+nugget QML,2,20,0,5,-3908.956796034791,243.70642240476218
DS-local+nugget QML,2,20,0,6,-3907.8030655314783,186.3189883451167
DS-local+nugget QML,2,20,0,7,-3907.056295634453,135.8921529538093
DS-local+nugget QML,2,20,0,8,-3906.597034031819,102.36614549787248
DS-local+nugget QML,2,20,0,9,-3906.225910041604,91.09312402162313
DS-local+nugget QML,2,20,0,10,-3905.817280291579,92.70613958128612
DS-local+nugget QML,2,20,0,11,-3905.3381353038753,96.65700673095267
DS-local+nugget QML,2,20,0,12,-3904.7883917856343,98.16860013028709
DS-local+nugget QML,2,20,0,13,-3904.1806365847788,96.04689970131881
DS-local+nugget QML,2,20,0,14,-3903.5342925201917,90.79574565556501
DS-local+nugget QML,2,20,0,15,-3902.8716880452516,83.88649130360376
DS-local+nugget QML,2,20,0,16,-3902.2140975780667,77.44149824167333
DS-local+nugget QML,2,20,0,17,-3901.5779367132195,73.68925801320745
DS-local+nugget QML,2,20,0,18,-3900.9721485977366,73.84221785702398
DS-local+nugget QML,2,20,0,19,-3900.398129205601,77.27983781810538
DS-local+nugget QML,2,20,0,20,-3899.8518711383053,82.21078988280566
DS-local+nugget QML,2,20,0,21,-3899.326722939065,86.89355442864453
DS-local+nugget QML,2,20,0,22,-3898.8158216453826,90.17686993760616
DS-local+nugget QML,2,20,0,23,-3898.3137634361924,91.47594948452029
DS-local+nugget QML,2,20,0,24,-3897.817380590163,90.61338348720349
DS-local+nugget QML,2,20,0,25,-3897.3257639218746,87.69496491016393
DS-local+nugget QML,2,20,0,26,-3896.8397565212804,83.0410566772332
DS-local+nugget QML,2,20,0,27,-3896.3611166624087,77.15607836305792
DS-local+nugget QML,2,20,0,28,-3895.8915128587237,70.7083394874608
DS-local+nugget QML,2,20,0,29,-3895.4315348917703,64.47616517548506
DS-local+nugget QML,2,20,0,30,-3894.9800044785507,59.19959698489795
DS-local+nugget QML,2,20,0,31,-3894.5339753312264,55.32289967819252
DS-local+nugget QML,2,20,0,32,-3894.0896631494593,52.784734624510065
DS-local+nugget QML,2,20,0,33,-3893.6439822179373,51.11103569210928
DS-local+nugget QML,2,20,0,34,-3893.19584925091,49.7899182629553
DS-local+nugget QML,2,20,0,35,-3892.746598018735,48.59962423719503
DS-local+nugget QML,2,20,0,36,-3892.29942792982,47.66460297397518
DS-local+nugget QML,2,20,0,37,-3891.8582233502775,47.25301135402752
DS-local+nugget QML,2,20,0,38,-3891.4262666175514,47.47073690348924
DS-local+nugget QML,2,20,0,39,-3891.0053874357886,48.088132230795196
DS-local+nugget QML,2,20,0,40,-3890.59587168114,48.632452238127904
