configuration,fit_particles,learning_rate,burnin,decay_start,method,inference_nstep,evaluation_nstep,start,updates_completed,termination_reason,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status,elapsed_seconds,initial_pseudo_loglik,final_pseudo_loglik
j0100_lr0p050,100,0.05,30,90,DS order-1.5 block Gaussian,20,20,0,118,time-budget,-3972.380605527264,0.1779264236981842,5000,36,32636471,ok,400.33605663792696,-6230.911766319752,-3988.615710678473
j0100_lr0p100,100,0.1,30,90,DS order-1.5 block Gaussian,20,20,0,106,time-budget,-3869.484643768914,0.3918499989936068,5000,36,32636471,ok,401.7426585810026,-6230.911766319752,-3940.986042694044
j0500_lr0p090,500,0.09,20,60,DS order-1.5 block Gaussian,20,20,0,86,time-budget,-3891.5985599849514,0.2883342615239966,5000,36,32636471,ok,410.2567471190123,-6217.728115181111,-3924.1758529000303
j0500_lr0p180,500,0.18,20,60,DS order-1.5 block Gaussian,20,20,0,82,time-budget,-4040.035869351704,1.024461687976698,5000,36,32636471,ok,403.4584242169512,-6217.728115181111,-4192.136662119039
j1000_lr0p110,1000,0.11,15,45,DS order-1.5 block Gaussian,20,20,0,67,time-budget,-3940.5660378417015,0.4672950330465897,5000,36,32636471,ok,413.7109634469962,-6216.69016100862,-3983.739811368704
j1000_lr0p220,1000,0.22,15,45,DS order-1.5 block Gaussian,20,20,0,68,time-budget,-3949.554595492581,0.8608469922492149,5000,36,32636471,ok,400.78267180605326,-6216.69016100862,-4022.0959844684926
j5000_lr0p200,5000,0.2,5,15,DS order-1.5 block Gaussian,20,20,0,26,time-budget,-3970.8722529466577,0.4717901173000579,5000,36,32636471,ok,405.2357315120753,-6213.326621917971,-3896.7144149485184
j5000_lr0p400,5000,0.4,5,15,DS order-1.5 block Gaussian,20,20,0,20,time-budget,-4330.735362882381,1.211757335186498,5000,36,32636471,ok,405.0146464009304,-6213.326621917971,-4791.589288428237
