method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,gradient_norm,minimum_ess,median_ess,resampling_count,maximum_invalid_fraction,learning_rate,incumbent_pseudo_loglik,restart_count,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
Corenflos DPF,20,0,0,247.2943666446954,-8157.0683900868935,12826.45816548402,1.0000000000001315,56.27985837013009,264,0.01,0.02,-8157.0683900868935,0,34.64518737792969,0.2264406830072403,26.54044151306152,-0.0033870935440063477,2.9965577125549316,0.47027021646499634,-1.8913612365722656,2.567049980163574,1.9289112091064453,0.2448272705078125,1.8343191146850586,6.085728645324707,-7.877694129943848,-1.4203824996948242,-3.4576282501220703,-0.3177471160888672,-3.187976837158203,-6.3982954025268555,0.03541215521926259,0.2987414636636744,0.1920238909483009,0.24765354119500213,0.22616894897376005,3.5451588235776264,-1.4852722535347067,3.278669664525354,-0.33870935440063477,1.0974642007189286,-0.7544478208372611,-1.8913612365722656,2.567049980163574,1.9289112091064453,0.2448272705078125,1.8343191146850586,6.085728645324707,-7.877694129943848,-1.4203824996948242,-3.4576282501220703,-0.3177471160888672,-3.187976837158203,-6.3982954025268555,-2.132523400348492,0.0,-0.44195873301761646,-0.187547771202345,-0.2782962475088595
Corenflos DPF,20,0,1,250.6222520065494,-8192.986532422383,12498.544836967167,1.0000009951185287,56.523623332481996,253,0.01,0.01996007984031936,-8157.0683900868935,0,33.9591667043858,0.23101508823780242,26.014905576022564,-0.0031870935463386802,3.0570921937801425,0.479770305005744,-1.8713612366001455,2.5870499799850872,1.9489112086931255,0.2648272702832822,1.854319114671372,6.105728645317349,-7.857694130060556,-1.400382499740656,-3.4376282502741096,-0.29774711631760253,-3.167976837205546,-6.378295402643722,0.03583188150792525,0.29042968669901975,0.19429988497144685,0.2505888945157409,0.22884965230586715,3.52515882357984,-1.4652722535466451,3.2586696651382385,-0.318709354633868,1.1174642007071824,-0.7344478208508464,-1.8713612366001455,2.5870499799850872,1.9489112086931255,0.2648272702832822,1.854319114671372,6.105728645317349,-7.857694130060556,-1.400382499740656,-3.4376282502741096,-0.29774711631760253,-3.167976837205546,-6.378295402643722,-2.092523462629914,0.0,-0.40195874028280393,-0.14754777875046574,-0.2382962568624991
Corenflos DPF,20,0,2,253.34040608466603,-7914.502871999024,20191.483973877315,1.0000000001031992,56.678438620938906,256,0.01,0.0199203187250996,-7914.502871999024,0,33.287812992683186,0.23566576483232365,26.33061714604194,-0.003210009467058649,3.1184875405162975,0.48945358812818107,-1.8513964763031407,2.6070170822195777,1.9687752099282063,0.2845086579956229,1.8741020201971168,6.125608449634473,-7.837716484681749,-1.3803964536134157,-3.4176687397282977,-0.2824631855630421,-3.148710040545988,-6.358657000782284,0.03604395642852055,0.28569715430710296,0.1955812194353899,0.2521739227824596,0.230503747046527,3.505191353805066,-1.4453407284979536,3.270732412126123,-0.3210009467058649,1.1373481216309562,-0.7144656363623901,-1.8513964763031407,2.6070170822195777,1.9687752099282063,0.2845086579956229,1.8741020201971168,6.125608449634473,-7.837716484681749,-1.3803964536134157,-3.4176687397282977,-0.2824631855630421,-3.148710040545988,-6.358657000782284,-2.070193143233302,0.0,-0.3789566109294878,-0.1248133295385025,-0.2146652302922426
Corenflos DPF,20,0,3,256.1211365526542,-7368.629442041221,9521.1685326451,1.0000000000169749,55.74230823625056,264,0.01,0.019880715705765408,-7368.629442041221,0,32.63146283150458,0.24041139971023223,26.74143240716119,-0.0033322837739609983,3.1805506772262406,0.49887526208229305,-1.831473707454854,2.626596973155791,1.988386180101685,0.3042142284676587,1.8939484170982115,6.145535389354485,-7.818432745574447,-1.360985524025845,-3.3978219128588907,-0.2659807438582276,-3.1291465173567685,-6.338926819824573,0.03595190407658641,0.28623209936772825,0.19568602638186275,0.2518992273818723,0.23023074279195027,3.48527694047699,-1.4254036576856643,3.2862141381957493,-0.33322837739609984,1.1570543507391449,-0.6953991902667611,-1.831473707454854,2.626596973155791,1.988386180101685,0.3042142284676587,1.8939484170982115,6.145535389354485,-7.818432745574447,-1.360985524025845,-3.3978219128588907,-0.2659807438582276,-3.1291465173567685,-6.338926819824573,-2.0746209706104706,0.0,-0.3802915493612529,-0.12777390176137415,-0.21772098239816684
Corenflos DPF,20,0,4,259.1232938126195,-6602.4953093033455,7082.302643191745,1.0000000000711893,50.67254738434691,293,0.04,0.01984126984126984,-6602.4953093033455,0,31.988714445052857,0.24494266073200613,26.96249389017654,-0.003484992918567757,3.2440160102558573,0.5,-1.8115134092467307,2.64632724419973,2.0071751166993606,0.32302613292777566,1.9134962379254248,6.165342309635297,-7.79888855752675,-1.3415261707415684,-3.381410982092055,-0.2585628452895745,-3.1105226660884955,-6.319374074193205,0.03590383709893249,0.2885490653517302,0.19510592077282646,0.2510024500504212,0.2294387267260897,3.4653831670036714,-1.406731133657083,3.294446785110763,-0.3484992918567757,1.1768120715849635,-0.6931471805599453,-1.8115134092467307,2.64632724419973,2.0071751166993606,0.32302613292777566,1.9134962379254248,6.165342309635297,-7.79888855752675,-1.3415261707415684,-3.381410982092055,-0.2585628452895745,-3.1105226660884955,-6.319374074193205,-2.0840209692697824,0.0,-0.3913225474876493,-0.139402441789857,-0.22922913412051418
Corenflos DPF,20,0,5,262.1887542535551,-6351.817017167041,7060.956894690338,1.0000000000207123,49.96389111978645,301,0.04,0.0,-6351.817017167041,0,31.360047722434626,0.24947829601881213,26.79670000130711,-0.003652506993907218,3.308582896772033,0.5,-1.7916759288040716,2.6644493038449424,2.0256674351164263,0.33784989585641473,1.9306025770814124,6.183792383404107,-7.780176787219198,-1.3228109288460939,-3.3640202379895694,-0.26150958875592667,-3.094775837176547,-6.301265179796174,0.035788370385396694,0.29149899829365,0.19434474625325512,0.2499203896903077,0.2284474953773904,3.4455347172423574,-1.3883833574789655,3.2882787456555778,-0.3652506993907218,1.1965199698526376,-0.6931471805599453,-1.7916759288040716,2.6644493038449424,2.0256674351164263,0.33784989585641473,1.9306025770814124,6.183792383404107,-7.780176787219198,-1.3228109288460939,-3.3640202379895694,-0.26150958875592667,-3.094775837176547,-6.301265179796174,-2.0974135783375436,0.0,-0.4054029448653681,-0.15389414348892289,-0.24373016499834424
