method,inference_nstep,start,target_elapsed_seconds,iteration,elapsed_seconds,training_pseudo_loglik,block_loglik,block_loglik_se,eval_particles,eval_replicates,replicate_logliks
DS order-1.5 block Gaussian,20,0,0,0,8.410227701999247,-6230.911698240044,-6220.728416384535,0.961090512105988,500,4,"[-6225.182964857704, -6222.97556269545, -6219.371962795775, -6228.931781461422]"
DS order-1.5 block Gaussian,20,0,100,16,100.19452071801061,-5431.487407586045,-5382.177124072727,0.9996223199540053,500,4,"[-5400.930600413399, -5388.982895972411, -5380.791113036749, -5392.743508783614]"
DS order-1.5 block Gaussian,20,0,200,34,202.70050279598217,-4774.001176653335,-4676.0864563266605,0.8267493096102142,500,4,"[-4700.891813446188, -4676.71673322706, -4674.847412783825, -4680.2699105134225]"
DS order-1.5 block Gaussian,20,0,300,51,300.92885065596784,-4639.153642607529,-4548.241872135555,0.9999768417675176,500,4,"[-4557.82363023581, -4582.827332056717, -4546.855595143359, -4562.751498372534]"
DS order-1.5 block Gaussian,20,0,400,68,398.8109382329858,-4551.609483354871,-4491.582561899944,0.7315846156887453,500,4,"[-4505.717088184905, -4490.450933353013, -4499.7781780900905, -4491.689010358807]"
DS order-1.5 block Gaussian,20,0,404,69,404.1981346269604,-4588.626112721617,-4500.890417006613,0.9221542728523636,500,4,"[-4513.358008316582, -4504.855100594648, -4499.5653369816455, -4502.41122300974]"
DS order-1.5 block Gaussian,20,4,0,0,8.645341598952655,-14334.775572021397,-12960.204568628811,1.0,500,4,"[-13430.004144567938, -13091.028552171552, -13017.76849422865, -12958.81827426769]"
DS order-1.5 block Gaussian,20,4,100,16,100.30488070897991,-8156.24628678555,-7723.012421200753,0.9999999999991316,500,4,"[-7749.686045640273, -7721.626126839634, -7897.063722619314, -7891.198913398119]"
DS order-1.5 block Gaussian,20,4,200,33,197.7742214030004,-6410.731311575658,-6214.1958528812165,1.0,500,4,"[-6255.643543523439, -6261.277978619504, -6212.809558520096, -6276.236871477355]"
DS order-1.5 block Gaussian,20,4,300,51,301.08607065700926,-6319.368688261445,-6111.825544780483,0.9999999999999993,500,4,"[-6152.167946399993, -6151.574391937913, -6145.866251670817, -6110.439250419363]"
DS order-1.5 block Gaussian,20,4,400,68,399.1395400369656,-6069.175697362094,-5924.143752784331,0.9999377614489935,500,4,"[-5961.476204110899, -5922.75750510394, -6033.040247318899, -5932.729660893802]"
DS order-1.5 block Gaussian,20,4,404,69,404.2792323589674,-6123.26070947848,-5931.075359067334,0.9262345684837204,500,4,"[-5929.747194632776, -5949.845635163965, -5932.563089232165, -5943.133566699584]"
DS order-1.5 block Gaussian,20,7,0,0,8.686909967043903,-6578.96918012133,-6416.354808786285,0.999998021412725,500,4,"[-6428.389449023825, -6439.1187597012095, -6414.968515909107, -6437.563752149443]"
DS order-1.5 block Gaussian,20,7,100,16,100.0531206720043,-5501.367035565974,-5472.007851271814,0.9999405075368288,500,4,"[-5482.620861020509, -5490.172433308633, -5480.78723930837, -5470.621601531464]"
DS order-1.5 block Gaussian,20,7,200,34,202.56017110403627,-5162.9302950959045,-5133.19252578699,0.9999880709687987,500,4,"[-5143.536540318532, -5131.806240372703, -5148.533042555335, -5145.788772363974]"
DS order-1.5 block Gaussian,20,7,300,51,300.3502705610008,-5109.756533489765,-5078.3050670047605,0.9999976670396131,500,4,"[-5090.175316044881, -5103.309216230665, -5076.9187743933635, -5097.801517313026]"
DS order-1.5 block Gaussian,20,7,400,68,398.5070429890184,-5087.247709488687,-5059.245083309163,0.959658883127446,500,4,"[-5061.3588238374705, -5066.354085950328, -5066.5505090381575, -5057.889834645272]"
DS order-1.5 block Gaussian,20,7,404,69,403.76134016603464,-5090.993458295743,-5043.894208545348,0.9999999879159227,500,4,"[-5042.507914193291, -5070.377508825164, -5061.02840417254, -5067.639968921758]"
DS order-1.5 block Gaussian,20,8,0,0,8.797705109987874,-9100.794828771066,-8646.44028232163,0.9999999980331118,500,4,"[-8810.283661564785, -8645.053987961985, -8666.84886076803, -8665.65264230545]"
DS order-1.5 block Gaussian,20,8,100,16,100.13437988498481,-5402.3183804593355,-5239.367016077898,0.9999999428773022,500,4,"[-5258.75562317381, -5237.980721759621, -5254.969322845418, -5262.70124322459]"
DS order-1.5 block Gaussian,20,8,200,34,202.90051184996264,-4452.7208168633915,-4377.807150784231,0.9999642931649626,500,4,"[-4387.981243194152, -4392.085026178959, -4387.398091392633, -4376.420883203668]"
DS order-1.5 block Gaussian,20,8,300,51,300.55981773498934,-4321.13812472024,-4254.00789056674,0.984545616092219,500,4,"[-4257.194589248146, -4263.11990012492, -4259.291665932374, -4252.633287177246]"
DS order-1.5 block Gaussian,20,8,400,68,398.2544649639749,-4204.516812851208,-4174.835478950082,0.9983510548365113,500,4,"[-4190.518556676347, -4173.450422297856, -4180.41371002314, -4181.587621469041]"
DS order-1.5 block Gaussian,20,8,404,69,403.53211883996846,-4208.178696836661,-4173.879434824554,0.8588372120115768,500,4,"[-4182.458769589447, -4172.607606125481, -4174.952716418081, -4176.281210015054]"
