method,inference_nstep,evaluation_nstep,start,iteration,elapsed_seconds,pseudo_loglik,euler20_loglik,euler20_se,eval_particles,eval_replicates,evaluation_seed,evaluation_status
Corenflos DPF,20,20,0,55,62.429987482959405,-5928.212272287385,-5918.14053801341,,5000,1,70631465,ok
Corenflos DPF,20,20,0,56,63.56188934901729,-5926.362111070086,-5917.392928531486,,5000,1,70631466,ok
Corenflos DPF,20,20,0,57,64.69365547900088,-5928.281956748566,-5920.344441255121,,5000,1,70631467,ok
Corenflos DPF,20,20,0,58,65.80981215497013,-5935.1545540263305,-5924.414716431664,,5000,1,70631468,ok
Corenflos DPF,20,20,0,59,66.94256333995145,-5936.922043069137,-5927.650103765598,,5000,1,70631469,ok
Corenflos DPF,20,20,0,60,68.06032686505932,-5934.719709090208,-5927.372357604012,,5000,1,70631470,ok
Corenflos DPF,20,20,0,61,69.21550964505877,-5939.800489217559,-5926.724594768259,,5000,1,70631471,ok
Corenflos DPF,20,20,0,62,70.36271617899183,-5936.097734771373,-5925.445577929316,,5000,1,70631472,ok
Corenflos DPF,20,20,0,63,71.50230436795391,-5936.3376918967315,-5925.810871419976,,5000,1,70631473,ok
Corenflos DPF,20,20,0,64,72.64965959696565,-5937.480272545272,-5926.697623700622,,5000,1,70631474,ok
Corenflos DPF,20,20,0,65,73.78948541497812,-5937.471467261816,-5927.726814428387,,5000,1,70631475,ok
Corenflos DPF,20,20,0,66,74.93019619095139,-5938.513661623382,-5928.909442372847,,5000,1,70631476,ok
Corenflos DPF,20,20,0,67,76.07895126705989,-5943.306756896499,-5929.618475508597,,5000,1,70631477,ok
Corenflos DPF,20,20,0,68,77.19638639199547,-5944.448068460192,-5930.80840029714,,5000,1,70631478,ok
Corenflos DPF,20,20,0,69,78.32142630696762,-5942.890499718011,-5933.025901280107,,5000,1,70631479,ok
Corenflos DPF,20,20,0,70,79.46168606705032,-5944.028556532665,-5933.385565384307,,5000,1,70631480,ok
Corenflos DPF,20,20,0,71,80.60095693403855,-5941.926211494281,-5933.330363158715,,5000,1,70631481,ok
Corenflos DPF,20,20,0,72,81.74029364599846,-5944.780005559845,-5934.8877058797,,5000,1,70631482,ok
Corenflos DPF,20,20,0,73,82.87258859002031,-5947.363319057993,-5936.207921722092,,5000,1,70631483,ok
Corenflos DPF,20,20,0,74,84.01169122895226,-5948.2856061285165,-5936.034538591116,,5000,1,70631484,ok
Corenflos DPF,20,20,0,75,85.12782722804695,-5950.793446493142,-5936.774473185977,,5000,1,70631485,ok
Corenflos DPF,20,20,0,76,86.29846605996136,-5950.069522131145,-5936.585062313184,,5000,1,70631486,ok
Corenflos DPF,20,20,0,77,87.44597738806624,-5947.434877388208,-5936.6431607960885,,5000,1,70631487,ok
Corenflos DPF,20,20,0,78,88.61710274301004,-5946.667394368166,-5935.452947816038,,5000,1,70631488,ok
Corenflos DPF,20,20,0,79,89.77188611705787,-5945.445419987423,-5933.679729553827,,5000,1,70631489,ok
Corenflos DPF,20,20,0,80,90.94317399500869,-5945.0487799025595,-5931.94435027325,,5000,1,70631490,ok
Corenflos DPF,20,20,0,81,92.13716336502694,-5943.231438486796,-5931.517880175184,,5000,1,70631491,ok
Corenflos DPF,20,20,0,82,93.32362362300046,-5942.287560905742,-5930.015099202702,,5000,1,70631492,ok
Corenflos DPF,20,20,0,83,94.54041699506342,-5944.600520962234,-5930.826456192345,,5000,1,70631493,ok
Corenflos DPF,20,20,0,84,95.76576279103756,-5949.297717805854,-5930.476165256299,,5000,1,70631494,ok
Corenflos DPF,20,20,0,85,96.96665820595808,-5949.522449835187,-5927.106681654267,,5000,1,70631495,ok
Corenflos DPF,20,20,0,86,98.18358802900184,-5941.084337567629,-5926.718165205851,,5000,1,70631496,ok
Corenflos DPF,20,20,0,87,99.40789340506308,-5939.077757159475,-5925.823166944546,,5000,1,70631497,ok
Corenflos DPF,20,20,0,88,100.64050716604106,-5940.727735084332,-5922.432893517048,,5000,1,70631498,ok
Corenflos DPF,20,20,0,89,101.86438091902528,-5940.804758115779,-5923.1587983600775,,5000,1,70631499,ok
Corenflos DPF,20,20,0,90,103.1196539819939,-5936.559308350043,-5919.982110758189,,5000,1,70631500,ok
Corenflos DPF,20,20,0,91,104.36619921505917,-5938.639171597548,-5918.825372392004,,5000,1,70631501,ok
Corenflos DPF,20,20,0,92,105.63821271597408,-5936.753039498182,-5917.774303135563,,5000,1,70631502,ok
Corenflos DPF,20,20,0,93,106.92408128199168,-5928.6711543599995,-5913.050368806644,,5000,1,70631503,ok
Corenflos DPF,20,20,0,94,108.22525694197975,-5924.262411466865,-5906.171825758897,,5000,1,70631504,ok
Corenflos DPF,20,20,0,95,109.52034750999883,-5920.782720738531,-5900.175315762687,,5000,1,70631505,ok
Corenflos DPF,20,20,0,96,110.8679732279852,-5912.684426866895,-5895.0979261681405,,5000,1,70631506,ok
Corenflos DPF,20,20,0,97,112.23069636395667,-5906.787419140139,-5891.404533985035,,5000,1,70631507,ok
Corenflos DPF,20,20,0,98,113.57958265196066,-5907.224252556664,-5887.958623834211,,5000,1,70631508,ok
Corenflos DPF,20,20,0,99,114.95780430804007,-5905.221132717652,-5885.512379125316,,5000,1,70631509,ok
Corenflos DPF,20,20,0,100,116.297511060955,-5905.941072605483,-5885.183705695454,,5000,1,70631510,ok
Corenflos DPF,20,20,0,101,117.66112045897171,-5910.614549577918,-5891.561824633946,,5000,1,70631511,ok
Corenflos DPF,20,20,0,102,119.0562004899839,-5915.5707352018635,-5890.321844090924,,5000,1,70631512,ok
Corenflos DPF,20,20,0,103,120.42839071701746,-5907.4545249606,-5884.35349415556,,5000,1,70631513,ok
Corenflos DPF,20,20,0,104,121.8229523600312,-5909.6689438245685,-5888.342173546026,,5000,1,70631514,ok
Corenflos DPF,20,20,0,105,123.20195461704861,-5911.573548324454,-5890.846391990117,,5000,1,70631515,ok
Corenflos DPF,20,20,0,106,124.56440003903117,-5916.908632806749,-5889.9794336394325,,5000,1,70631516,ok
Corenflos DPF,20,20,0,107,125.9428808230441,-5912.888656855823,-5887.508546631279,,5000,1,70631517,ok
Corenflos DPF,20,20,0,108,127.3146067810012,-5915.813636076049,-5890.666966173115,,5000,1,70631518,ok
Corenflos DPF,20,20,0,109,128.69424242305104,-5912.713122782748,-5894.844920056575,,5000,1,70631519,ok
Corenflos DPF,20,20,0,110,130.08047419996,-5918.837327723519,-5895.709158225269,,5000,1,70631520,ok
Corenflos DPF,20,20,0,111,131.44348039699253,-5920.542833352708,-5899.4722763016225,,5000,1,70631521,ok
Corenflos DPF,20,20,0,112,132.82200477900915,-5921.506194537824,-5899.137436428376,,5000,1,70631522,ok
Corenflos DPF,20,20,0,113,134.17897345300298,-5919.643529344471,-5897.374712174322,,5000,1,70631523,ok
Corenflos DPF,20,20,0,114,135.54237565596122,-5924.624796773834,-5903.064845153189,,5000,1,70631524,ok
Corenflos DPF,20,20,0,115,136.92084879102185,-5922.506132454774,-5903.2646487382935,,5000,1,70631525,ok
Corenflos DPF,20,20,0,116,138.28427724004723,-5926.102030129356,-5904.951895258052,,5000,1,70631526,ok
Corenflos DPF,20,20,0,117,139.61606591905002,-5927.40985988359,-5908.602589695978,,5000,1,70631527,ok
Corenflos DPF,20,20,0,118,140.97977728501428,-5929.361327046536,-5912.152460513579,,5000,1,70631528,ok
Corenflos DPF,20,20,0,119,142.29715490795206,-5938.942869141456,-5915.2787003243275,,5000,1,70631529,ok
Corenflos DPF,20,20,0,120,143.62941615504678,-5940.707567787695,-5917.430710242584,,5000,1,70631530,ok
Corenflos DPF,20,20,0,121,144.93798110296484,-5944.172597730931,-5922.48879072377,,5000,1,70631531,ok
Corenflos DPF,20,20,0,122,146.21611905505415,-5946.842494469463,-5925.8917918358065,,5000,1,70631532,ok
Corenflos DPF,20,20,0,123,147.51669690199196,-5951.234378805203,-5932.207862102995,,5000,1,70631533,ok
Corenflos DPF,20,20,0,124,148.81046497204807,-5953.340169787394,-5936.90833185293,,5000,1,70631534,ok
