method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,complete_pseudologlik,score_norm,minimum_ess,maximum_invalid_fraction,unique_initial_ancestors,accepted_step_size,backtrack_count,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,0,5.903582328988705,-6230.759840064467,28017.864725996402,48646.181952200976,8.9393392887343,-2.0816681711721685e-17,1,0.02,0,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093503,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
DS order-1.5 block Gaussian,20,0,1,9.267198390967678,-6143.678028355906,27987.015165288398,81014.55027138261,5.2560188570683435,-2.0816681711721685e-17,1,0.02,0,12.450985348420282,0.398882888551258,15.46371726093634,-0.009854575788454948,1.3112402521768305,0.4128096097101828,2.031969991299667,5.1373434769782556,-2.2494251471542377,4.842077688249399,4.9802256095237905,2.8420006289202244,-3.779438249685863,-2.3727504762280778,-0.5465467855237789,-6.372280424603008,-6.630966182342703,-9.441106308331433,0.29662042929829846,0.1269599864602514,0.16640047295341345,0.1345344176721933,0.27548469361584343,2.521799764230388,-0.9190874175783316,2.7384964580436106,-0.9854575788454948,0.27097344670785334,-0.8847687857490604,2.031969991299667,5.1373434769782556,-2.2494251471542377,4.842077688249399,4.9802256095237905,2.8420006289202244,-3.779438249685863,-2.3727504762280778,-0.5465467855237789,-6.372280424603008,-6.630966182342703,-9.441106308331433,0.0,-0.8485813360409856,-0.5780559349621719,-0.7906332458330514,-0.07392123712699737
DS order-1.5 block Gaussian,20,0,2,12.589558940962888,-6077.640549814592,27962.894176345704,18986.730784199528,2.7332574660535016,-2.0816681711721685e-17,1,0.02,0,12.702336224451305,0.39100290080830097,15.157156496987165,-0.01,1.3377619965032552,0.4207033174783813,2.01218577848121,5.117738510366585,-2.2678302255261333,4.822125611116554,4.961537253522787,2.822092930126446,-3.799325833928953,-2.39189603957972,-0.564590247955287,-6.390539870625798,-6.650028517299696,-9.461059322467497,0.2964373066584657,0.12678351837283636,0.16548775851820477,0.13365853244257891,0.27763288400791414,2.541785931228163,-0.9390403000772303,2.7184727964596966,-1.0,0.29099806584109544,-0.8658274028013947,2.01218577848121,5.117738510366585,-2.2678302255261333,4.822125611116554,4.961537253522787,2.822092930126446,-3.799325833928953,-2.39189603957972,-0.564590247955287,-6.390539870625798,-6.650028517299696,-9.461059322467497,0.0,-0.849354699152685,-0.582938525996655,-0.7965474691782825,-0.06553607156193988
DS order-1.5 block Gaussian,20,0,3,15.963975062011741,-5998.197440906974,27945.008009467965,53656.2368837514,2.7823185599798355,-2.0816681711721685e-17,1,0.02,0,12.957305348204612,0.38332415131992414,14.855992779233029,-0.01,1.3605855408294525,0.4283800954856609,1.9946877540388692,5.10026834213086,-2.284705473093241,4.8059523494731184,4.945714187406927,2.804799718137794,-3.816678526793933,-2.408949696668373,-0.5818289788269352,-6.407503919626549,-6.6663089217217975,-9.478240832069398,0.29463563222225286,0.1257801991031475,0.1678642440547612,0.13559843021702894,0.2761214944028094,2.5616597486424064,-0.9588742996582892,2.6984033379997365,-1.0,0.3079151518177127,-0.8477444039397285,1.9946877540388692,5.10026834213086,-2.284705473093241,4.8059523494731184,4.945714187406927,2.804799718137794,-3.816678526793933,-2.408949696668373,-0.5818289788269352,-6.407503919626549,-6.6663089217217975,-9.478240832069398,0.0,-0.8512035158485312,-0.5625838662750201,-0.7760416490415194,-0.06489848193976937
DS order-1.5 block Gaussian,20,0,4,19.13066818099469,-5922.650336883715,27903.15757425871,32878.36982109469,7.3443419694609595,-2.0816681711721685e-17,1,0.02,0,13.219075938826435,0.3757431901997186,14.56893952903501,-0.01,1.3838422124567686,0.4359377559524841,1.977524805241792,5.083157536069101,-2.3006396744183726,4.790654670861598,4.930009118560061,2.7879906629820286,-3.834016678391559,-2.426058224935391,-0.598994156821106,-6.424271624840951,-6.681888610327187,-9.495251854938628,0.2933974532874802,0.12507172104953287,0.16932424908877766,0.13687360579217636,0.275332970782033,2.581660933253312,-0.9788493737342558,2.6788918330032825,-1.0,0.3248638423555479,-0.8302558074013779,1.977524805241792,5.083157536069101,-2.3006396744183726,4.790654670861598,4.930009118560061,2.7879906629820286,-3.834016678391559,-2.426058224935391,-0.598994156821106,-6.424271624840951,-6.681888610327187,-9.495251854938628,0.0,-0.8526408445130239,-0.5497126753116416,-0.7624702711437825,-0.06354701758971386
DS order-1.5 block Gaussian,20,0,5,22.425005165976472,-5853.809594060336,27970.19897430309,10926.682041603512,2.9554964932646555,0.00999999999999998,1,0.02,0,13.485434180424647,0.36830596397093895,14.285272090287094,-0.01,1.4082339846542986,0.44381690414376906,1.9601328863193366,5.066332607738102,-2.3167670388105126,4.775406049519662,4.914145598567567,2.770802213957185,-3.8515794597844772,-2.4439018837806303,-0.6169538699284642,-6.44165351756249,-6.697607066718982,-9.512544810224695,0.29119412855367555,0.12404424430560458,0.17199432101904474,0.1391302915669282,0.2736370145547469,2.6016101533610727,-0.99884126242047,2.6592290827737997,-1.0,0.34233642621198734,-0.8123431796556994,1.9601328863193366,5.066332607738102,-2.3167670388105126,4.775406049519662,4.914145598567567,2.770802213957185,-3.8515794597844772,-2.4439018837806303,-0.6169538699284642,-6.44165351756249,-6.697607066718982,-9.512544810224695,0.0,-0.8533518423054102,-0.526528694248216,-0.738579309690015,-0.06218768947222786
DS order-1.5 block Gaussian,20,0,6,25.83650236396352,-5785.251178295082,27914.552704285667,40671.82714383487,2.541352517492084,-2.0816681711721685e-17,1,0.02,0,13.759340730940085,0.36101918486944495,14.061760360475567,-0.01,1.432859865728281,0.45193825974290025,1.9425566213415604,5.049007597511841,-2.3336952551789674,4.758665998679138,4.896991929986166,2.753684588615431,-3.868736766208568,-2.4611177600930723,-0.633715353453791,-6.458302434786776,-6.713838850592097,-9.530061444727615,0.2909132962395344,0.12450575419367066,0.17075041530400326,0.13836616990655468,0.275464364356237,2.621717919361748,-1.0188241783786585,2.6434590819929857,-1.0,0.3596723532255953,-0.7942097019688048,1.9425566213415604,5.049007597511841,-2.3336952551789674,4.758665998679138,4.896991929986166,2.753684588615431,-3.868736766208568,-2.4611177600930723,-0.633715353453791,-6.458302434786776,-6.713838850592097,-9.530061444727615,0.0,-0.8486733384485812,-0.5328223410261413,-0.7431216954957763,-0.05456700046087003
DS order-1.5 block Gaussian,20,0,7,28.94453108898597,-5724.758280789564,28008.728801169087,14039.44375074695,6.458306006078477,-2.0816681711721685e-17,1,0.02,0,13.919010797558077,0.3572110973969258,13.86877889627036,-0.01,1.4585545123103372,0.45987174502253886,1.9257408211012683,5.032527388318832,-2.3496900678842634,4.743420078136127,4.881235013951922,2.7373050034486996,-3.885158933007542,-2.477627800585773,-0.6502157964409425,-6.474900699914313,-6.729832521329258,-9.546745751671342,0.29061354496584096,0.12432587294347676,0.17060381689669887,0.1385699570662479,0.2758868081277355,2.6332555889873346,-1.0294283627218317,2.6296401912492136,-1.0,0.3774458852256374,-0.7768076435435656,1.9257408211012683,5.032527388318832,-2.3496900678842634,4.743420078136127,4.881235013951922,2.7373050034486996,-3.885158933007542,-2.477627800585773,-0.6502157964409425,-6.474900699914313,-6.729832521329258,-9.546745751671342,0.0,-0.8490882343536527,-0.5326503522175319,-0.7406190571173419,-0.05200369427594507
DS order-1.5 block Gaussian,20,0,8,32.26753262098646,-5669.544028618851,27901.349399085015,31096.228397333693,3.942952979892393,0.01999999999999998,1,0.02,0,13.99734234736128,0.3557556533571945,13.702231822461744,-0.01,1.4846738286048407,0.4682750259059529,1.9079573294652203,5.014999839546006,-2.3668711602829156,4.726815944622301,4.864376867599059,2.7200882546081604,-3.9025575167004765,-2.495128135320328,-0.6677996425107399,-6.492213503176933,-6.746319923081891,-9.564483176474711,0.29007091650023564,0.12421035491342187,0.17049363446608495,0.13892044561643482,0.2763046485038227,2.638867479263484,-1.0335111507619288,2.617558726315248,-1.0,0.39519510409223435,-0.7586994934780901,1.9079573294652203,5.014999839546006,-2.3668711602829156,4.726815944622301,4.864376867599059,2.7200882546081604,-3.9025575167004765,-2.495128135320328,-0.6677996425107399,-6.492213503176933,-6.746319923081891,-9.564483176474711,0.0,-0.8481488938236089,-0.531427471224701,-0.7362239971510266,-0.04862137683563984
DS order-1.5 block Gaussian,20,0,9,35.65675884799566,-5599.4159470116665,28076.11685230026,17907.554272800342,5.524608794761006,0.00999999999999998,1,0.02,0,14.063694491586658,0.3546004879273186,13.506236985837088,-0.01,1.5117322528252348,0.47657476353242384,1.890949816104533,4.998612257812511,-2.3834989081067812,4.710270378281417,4.847556188578144,2.703251072163735,-3.919106031355524,-2.512378765894662,-0.6851273355859614,-6.509072974274852,-6.762353865768522,-9.581817382420757,0.2898725839104201,0.12420004795154704,0.17014792309895196,0.13894773933237464,0.27683170570670623,2.6435966179812436,-1.03676350934941,2.6031515777066225,-1.0,0.41325618061177566,-0.7411306667634634,1.890949816104533,4.998612257812511,-2.3834989081067812,4.710270378281417,4.847556188578144,2.703251072163735,-3.919106031355524,-2.512378765894662,-0.6851273355859614,-6.509072974274852,-6.762353865768522,-9.581817382420757,0.0,-0.8475479050223228,-0.5327732660272472,-0.7353435741970329,-0.046031699682954036
