method,inference_nstep,start,start_type,particles,iterations_requested,updates_completed,termination_reason,elapsed_seconds,initial_pseudo_loglik,final_pseudo_loglik,minimum_ess,maximum_invalid_fraction,total_backtracks,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,global-box,100,5000,69,time-budget,405.13974412699463,-6230.911698240044,-4045.412121286614,1.0004085112574796,0.47,0,10.905430926532503,0.5531397278627675,20.880415994749924,-0.004309258612945199,2.0862921889078994,0.31311663871888773,0.6588252050579195,4.608628299974172,-4.0,2.604122946476121,3.7932174159623906,3.199010840247091,-3.727429700487051,-5.031040211167597,-3.924372924442209,-9.648501514404435,-8.37297279817168,-8.282418252893573,0.20785808906125236,0.07071198074429874,0.2646866233593703,0.2646866233593703,0.19205668347570817,2.3892609152903086,-0.5921446369298744,3.0388116859361824,-0.4309258612945199,0.73538841815392,-1.161179510193702,0.6588252050579195,4.608628299974172,-4.0,2.604122946476121,3.7932174159623906,3.199010840247091,-3.727429700487051,-5.031040211167597,-3.924372924442209,-9.648501514404435,-8.37297279817168,-8.282418252893573,-0.24169099013276255,-1.3199315554104385,0.0,0.0,-0.3207560179643875
DS order-1.5 block Gaussian,20,4,global-box,100,5000,69,time-budget,404.72013050399255,-14334.775572021397,-4961.594733588737,1.0,0.55,0,39.37348707433195,0.20411717425598502,2.0814392452085,-0.0076391820002385535,5.0,0.5,3.649120127523163,5.401490754660691,3.896860974806868,1.8948030711390151,6.925069797287981,7.228059779206945,0.0,-5.563952844755329,-3.4418013457524665,-5.356678850509097,-7.410792036876505,-1.1887536940773553,0.018180092326149422,0.1695716472632259,0.18598615946312044,0.27429437025747655,0.35196773069002757,3.6730926728985653,-1.5890610664252764,0.7330595992415685,-0.7639182000238554,1.6094379124341003,-0.6931471805599453,3.649120127523163,5.401490754660691,3.896860974806868,1.8948030711390151,6.925069797287981,7.228059779206945,0.0,-5.563952844755329,-3.4418013457524665,-5.356678850509097,-7.410792036876505,-1.1887536940773553,-2.9632123300372046,-0.7302639619925667,-0.6378672377637756,-0.24933762352075828,0.0
DS order-1.5 block Gaussian,20,7,global-box,100,5000,68,time-budget,400.7513009160175,-6578.96918012133,-4173.406605523741,1.000302793990252,0.59,0,10.000000000000002,0.25506307663868366,19.0902570260755,-0.0015285723196966016,1.9783726848732777,0.5,1.9668411958611385,4.033997826432327,-1.5028917008664784,2.156740072148006,4.396543744923171,0.2032220860067878,-7.256739690308829,-3.593255064871746,-6.1194412934491,-10.0,-3.7207153221112947,-4.21990755612943,0.17322926657136228,0.07830239445809564,0.3214869086290666,0.3214869086290666,0.10549452171240897,2.302585092994046,-1.3662444050446083,2.9491781015587786,-0.15285723196966017,0.6822746304543003,-0.6931471805599453,1.9668411958611385,4.033997826432327,-1.5028917008664784,2.156740072148006,4.396543744923171,0.2032220860067878,-7.256739690308829,-3.593255064871746,-6.1194412934491,-10.0,-3.7207153221112947,-4.21990755612943,-0.6183408657490478,-1.4123786400955047,0.0,0.0,-1.1142977985165732
DS order-1.5 block Gaussian,20,8,global-box,100,5000,68,time-budget,400.8936667069793,-9100.794828771066,-4089.0116278236724,1.0000014062793459,0.42,0,35.08968646809844,0.11286549821644867,9.149302508495355,-0.0019134812845512026,2.6005725811329654,0.3532504478371571,2.3642235960249804,5.40356042078973,-0.37899349677987504,4.161399318794867,3.7989476586366298,4.2624813071201215,-4.143955019601549,0.0,-5.436102291679049,-5.308822841397285,-5.225684930497255,-8.280478589628947,0.021050575209716108,0.21464623207630099,0.34666117468541,0.17988233862389905,0.2377596794046738,3.5579072544767913,-2.181558450487534,2.2136776478021414,-0.19134812845512025,0.9557316442944772,-1.040577989655651,2.3642235960249804,5.40356042078973,-0.37899349677987504,4.161399318794867,3.7989476586366298,4.2624813071201215,-4.143955019601549,0.0,-5.436102291679049,-5.308822841397285,-5.225684930497255,-8.280478589628947,-2.801419975455899,-0.47935662037415877,0.0,-0.656044898247857,-0.37708744795862453
