method,inference_nstep,start,start_type,particles,iterations_requested,updates_completed,termination_reason,elapsed_seconds,initial_pseudo_loglik,final_pseudo_loglik,minimum_ess,maximum_invalid_fraction,total_backtracks,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,global-box,100,5000,12,time-budget,416.91711306001525,-6230.911775516043,-5053.662130324997,1.4148243726607395,0.17999999999999994,0,11.472142677188087,0.43793448433261856,14.71108694162182,-0.01,1.9199289113364721,0.5,1.649658032676586,4.741550665017014,-2.648026004245486,4.458007483764586,4.586977226724366,2.4600043563792853,-4.159095442857151,-2.782324101996522,-0.9529530494927798,-6.779072805840735,-7.023897720936574,-9.809137048835371,0.2813470107115799,0.14024494663331977,0.1648997181787607,0.13216131376475979,0.2813470107115799,2.4399217207733086,-0.8256859589430403,2.688601423224224,-1.0,0.6522881600086478,-0.6931471805599453,1.649658032676586,4.741550665017014,-2.648026004245486,4.458007483764586,4.586977226724366,2.4600043563792853,-4.159095442857151,-2.782324101996522,-0.9529530494927798,-6.779072805840735,-7.023897720936574,-9.809137048835371,0.0,-0.6961983084008091,-0.5342513004987048,-0.7555655705822621,0.0
DS order-1.5 block Gaussian,20,4,global-box,100,5000,12,time-budget,416.5908517599455,-14334.769887518978,-7417.986120543748,1.0,0.55,0,30.07598042973566,0.28813935087900916,2.4353101300626654,-0.005713683877320792,4.999999999999999,0.3572271685540159,2.5142466510102213,4.487275511538258,3.0416866186300084,0.42180613069168554,7.008389953487801,5.216946676865727,0.0,-6.488994179552784,-4.587221792028449,-6.781520038003619,-8.891288970130475,-2.4974470919953924,0.025754153761303303,0.24025808824285308,0.13010677486116756,0.274991217572204,0.32888976556247207,3.4037268608218483,-1.2443110586485673,0.8900741118999415,-0.5713683877320792,1.6094379124341003,-1.0293833730905122,2.5142466510102213,4.487275511538258,3.0416866186300084,0.42180613069168554,7.008389953487801,5.216946676865727,0.0,-6.488994179552784,-4.587221792028449,-6.781520038003619,-8.891288970130475,-2.4974470919953924,-2.547126710320824,-0.3140089223129908,-0.9273671771177113,-0.1789834744843776,0.0
DS order-1.5 block Gaussian,20,7,global-box,100,5000,12,time-budget,411.219718709006,-6596.668289763069,-5357.136543421142,1.02313967427081,0.6499999999999999,0,10.809396726682662,0.1978760363926097,9.96613965811651,-0.00831439094305358,4.999999999999999,0.48918411599201234,3.448749553872492,5.56835664053024,0.05447606806259696,4.160352011950784,6.553356909967904,0.0,-7.905087723991622,-2.04600349529116,-4.21836423181708,-9.892308029915995,-1.2512558535330565,-4.8966489294536215,0.22792296963756403,0.11837619945884537,0.28757707662112597,0.22056408876402692,0.14555966551843766,2.380415823126474,-1.6201145231819938,2.2991933132184315,-0.8314390943053579,1.6094379124341003,-0.7150163450502829,3.448749553872492,5.56835664053024,0.05447606806259696,4.160352011950784,6.553356909967904,0.0,-7.905087723991622,-2.04600349529116,-4.21836423181708,-9.892308029915995,-1.2512558535330565,-4.8966489294536215,-0.23248319749961402,-0.887623232743242,0.0,-0.26530261225538243,-0.6809048420556763
DS order-1.5 block Gaussian,20,8,global-box,100,5000,12,time-budget,411.1373386720079,-9100.79457143032,-4582.18295894522,1.0000014059784448,0.09999999999999998,0,20.876693585401558,0.24157992282378282,14.11556311115759,-0.001970219303039257,1.6275059018691145,0.4471651162731115,3.0958772990354007,4.363031824938351,-2.104234074122818,4.065535048543953,3.9656476466648196,4.479214977561493,-5.356196963687642,0.0,-7.186198308673581,-6.051468022653025,-4.854205302172716,-8.16854169188228,0.028783259001860233,0.2899889015328926,0.2942087967573634,0.07281244277632906,0.31420659993155475,3.0386333972856674,-1.4205549172694865,2.6472779554302392,-0.1970219303039257,0.4870487214344819,-0.8048273649397887,3.0958772990354007,4.363031824938351,-2.104234074122818,4.065535048543953,3.9656476466648196,4.479214977561493,-5.356196963687642,0.0,-7.186198308673581,-6.051468022653025,-4.854205302172716,-8.16854169188228,-2.3902567976390596,-0.08020807943995334,-0.06576102278871365,-1.4621638732566862,0.0
