method,effort,replicate,euler_loglik
IFAD-0.97,comparable,38,-3744.1398692748157
IFAD-0.97,comparable,39,-3744.4890711505873
IFAD-0.97,comparable,40,-3744.610155137364
IFAD-0.97,comparable,41,-3747.117792574838
IFAD-0.97,comparable,42,-3744.6777825606546
IFAD-0.97,comparable,43,-3747.6802015511175
IFAD-0.97,comparable,44,-3744.098682053443
IFAD-0.97,comparable,45,-3744.9092615537133
IFAD-0.97,comparable,46,-3777.2619883836232
IFAD-0.97,comparable,47,-3744.043299987944
IFAD-0.97,comparable,48,-3746.1589694929835
IFAD-0.97,comparable,49,-3745.2898904614603
IFAD-0.97,comparable,50,-3744.286156053372
IFAD-0.97,comparable,51,-3743.8394005593377
IFAD-0.97,comparable,52,-3745.9321406985937
IFAD-0.97,comparable,53,-3744.1383946497212
IFAD-0.97,comparable,54,-3745.734565094605
IFAD-0.97,comparable,55,-3744.2320557220933
IFAD-0.97,comparable,56,-3744.0739464031326
IFAD-0.97,comparable,57,-3744.9088467715396
IFAD-0.97,comparable,58,-3745.9334979191167
IFAD-0.97,comparable,59,-3745.5708021133737
IFAD-0.97,comparable,60,-3745.1670123742692
IFAD-0.97,comparable,61,-3744.255599760447
IFAD-0.97,comparable,62,-3744.1367621636837
IFAD-0.97,comparable,63,-3747.6462479026836
IFAD-0.97,comparable,64,-3745.077835231126
IFAD-0.97,comparable,65,-3744.455660047329
IFAD-0.97,comparable,66,-3743.8604561292655
IFAD-0.97,comparable,67,-3744.059759951453
IFAD-0.97,comparable,68,-3745.6948413597283
IFAD-0.97,comparable,69,-3745.6279593390545
IFAD-0.97,comparable,70,-3744.387427873543
IFAD-0.97,comparable,71,-3743.6825623858185
IFAD-0.97,comparable,72,-3744.3975204307644
IFAD-0.97,comparable,73,-3744.2397716365394
IFAD-0.97,comparable,74,-3744.4229157602504
IFAD-0.97,comparable,75,-3744.399527970589
IFAD-0.97,comparable,76,-3744.7986933825796
IFAD-0.97,comparable,77,-3744.152915409884
IFAD-0.97,comparable,78,-3756.143681176916
IFAD-0.97,comparable,79,-3744.068899979113
IFAD-0.97,comparable,80,-3744.035043205613
IFAD-0.97,comparable,81,-3743.9561570043775
IFAD-0.97,comparable,82,-3745.983621000755
IFAD-0.97,comparable,83,-3744.325431219802
IFAD-0.97,comparable,84,-3744.335984428573
IFAD-0.97,comparable,85,-3744.11830166833
IFAD-0.97,comparable,86,-3745.809239995154
IFAD-0.97,comparable,87,-3744.661064464533
IFAD-0.97,comparable,88,-3744.0309324959676
IFAD-0.97,comparable,89,-3744.449529126828
IFAD-0.97,comparable,90,-3744.3375539647514
IFAD-0.97,comparable,91,-3744.17750789673
IFAD-0.97,comparable,92,-3744.7543395503217
IFAD-0.97,comparable,93,-3743.9767941886453
IFAD-0.97,comparable,94,-3744.0784939244363
IFAD-0.97,comparable,95,-3743.7900792509
IFAD-0.97,comparable,96,-3744.2474807398553
IFAD-0.97,comparable,97,-3771.9379886949096
IFAD-0.97,comparable,98,-3743.9256862599086
IFAD-0.97,comparable,99,-3744.3691225509606
IFAD-1,comparable,0,-3750.3121089878873
IFAD-1,comparable,1,-3745.0983279272905
IFAD-1,comparable,2,-3748.302552507287
IFAD-1,comparable,3,-3748.335004426253
IFAD-1,comparable,4,-24867.998046875
IFAD-1,comparable,5,-3746.0053562949784
IFAD-1,comparable,6,-3748.0194395112526
IFAD-1,comparable,7,-3744.91601878802
IFAD-1,comparable,8,-3789.652144114704
IFAD-1,comparable,9,-3744.7124885890403
IFAD-1,comparable,10,-3747.5720945981284
IFAD-1,comparable,11,-3747.3697510658817
IFAD-1,comparable,12,-3748.1189922000244
