method,order,inference_nstep,start,iteration,approx_loglik,gradient_norm
DS-local+nugget QML,2,5,3,3,-38652.67883457636,129454.4096883513
DS-local+nugget QML,2,5,3,4,-37814.80872005967,126082.61378380316
DS-local+nugget QML,2,5,3,5,-36997.33477930259,122797.73593922975
DS-local+nugget QML,2,5,3,6,-36199.69240509307,119597.61552737799
DS-local+nugget QML,2,5,3,7,-35421.3331616833,116480.14451019518
DS-local+nugget QML,2,5,3,8,-34661.724213396395,113443.26592240033
DS-local+nugget QML,2,5,3,9,-33920.34770467843,110484.97255798585
DS-local+nugget QML,2,5,3,10,-33196.724115397636,107603.39650144138
DS-local+nugget QML,2,5,3,11,-32490.35888045041,104796.61200748463
DS-local+nugget QML,2,5,3,12,-31800.7527879202,102062.67282240513
DS-local+nugget QML,2,5,3,13,-31127.440794516246,99399.76206003447
DS-local+nugget QML,2,5,3,14,-30469.96907758757,96806.10910066658
DS-local+nugget QML,2,5,3,15,-29827.894491649833,94280.01123501488
DS-local+nugget QML,2,5,3,16,-29200.78371475312,91819.76033941118
DS-local+nugget QML,2,5,3,17,-28588.212795589287,89423.72458686726
DS-local+nugget QML,2,5,3,18,-27989.76755737039,87090.29479971308
DS-local+nugget QML,2,5,3,19,-27405.043924166926,84817.90251214213
DS-local+nugget QML,2,5,3,20,-26833.65040961034,82605.082241724
DS-local+nugget QML,2,5,3,21,-26275.210082924532,80450.34723629591
DS-local+nugget QML,2,5,3,22,-25729.362933394288,78352.22795619124
DS-local+nugget QML,2,5,3,23,-25195.768365257787,76309.2615331487
DS-local+nugget QML,2,5,3,24,-24674.107102650363,74319.98262696918
DS-local+nugget QML,2,5,3,25,-24164.082109432315,72382.91787176202
DS-local+nugget QML,2,5,4,0,-7941.898071983076,12070.604094954295
DS-local+nugget QML,2,5,4,1,-7859.135165194093,11479.077857591617
DS-local+nugget QML,2,5,4,2,-7780.626443310042,10906.125066257107
DS-local+nugget QML,2,5,4,3,-7706.239985998138,10353.655369553138
DS-local+nugget QML,2,5,4,4,-7635.832137104114,9823.056781470677
DS-local+nugget QML,2,5,4,5,-7569.251070113345,9315.264940767283
DS-local+nugget QML,2,5,4,6,-7506.354891401987,8830.749677456533
DS-local+nugget QML,2,5,4,7,-7447.161513203799,8369.239458399186
DS-local+nugget QML,2,5,4,8,-7391.3284207396355,7931.788211869476
DS-local+nugget QML,2,5,4,9,-7338.690942335171,7518.016298365351
DS-local+nugget QML,2,5,4,10,-7289.099155763077,7127.483609965667
DS-local+nugget QML,2,5,4,11,-7242.386043358037,6759.5511577702555
DS-local+nugget QML,2,5,4,12,-7198.394650088192,6413.635664457309
DS-local+nugget QML,2,5,4,13,-7156.977985610272,6088.6130162976215
DS-local+nugget QML,2,5,4,14,-7117.995140952026,5783.724453308871
DS-local+nugget QML,2,5,4,15,-7081.31029814181,5498.197536387506
DS-local+nugget QML,2,5,4,16,-7046.792635716896,5231.246332314252
DS-local+nugget QML,2,5,4,17,-7014.316196417513,4982.073192680904
DS-local+nugget QML,2,5,4,18,-6983.759713608032,4749.872498356136
DS-local+nugget QML,2,5,4,19,-6955.0064007511555,4533.835354063427
DS-local+nugget QML,2,5,4,20,-6927.943715884239,4333.1540642570435
DS-local+nugget QML,2,5,4,21,-6902.463117064398,4147.025691040977
DS-local+nugget QML,2,5,4,22,-6878.459825943165,3974.654560608944
DS-local+nugget QML,2,5,4,23,-6855.832616077391,3815.2539827297705
DS-local+nugget QML,2,5,4,24,-6834.483640831633,3668.0476193165873
DS-local+nugget QML,2,5,4,25,-6814.318313078853,3532.270924735524
DS-local+nugget QML,2,10,0,0,-3924.0396659240782,494.8622450859543
DS-local+nugget QML,2,10,0,1,-3920.990872858104,441.8225636038182
DS-local+nugget QML,2,10,0,2,-3918.339989076317,386.8603088217166
DS-local+nugget QML,2,10,0,3,-3916.103676706352,330.2627018202275
DS-local+nugget QML,2,10,0,4,-3914.296335411877,272.7159926653884
DS-local+nugget QML,2,10,0,5,-3912.923375102689,215.8608731743658
DS-local+nugget QML,2,10,0,6,-3911.960370129707,163.47277227039984
DS-local+nugget QML,2,10,0,7,-3911.323300787766,122.33236966851345
DS-local+nugget QML,2,10,0,8,-3910.8669809570965,99.74857742840382
DS-local+nugget QML,2,10,0,9,-3910.431909865066,94.15113686788007
DS-local+nugget QML,2,10,0,10,-3909.9438352186153,95.75626405287139
DS-local+nugget QML,2,10,0,11,-3909.389997233889,97.65425915104956
DS-local+nugget QML,2,10,0,12,-3908.7781041750472,97.14609040456746
DS-local+nugget QML,2,10,0,13,-3908.1236205581226,93.80077327874635
DS-local+nugget QML,2,10,0,14,-3907.445512517414,88.344840163329
DS-local+nugget QML,2,10,0,15,-3906.763113299235,82.19422509608151
DS-local+nugget QML,2,10,0,16,-3906.09309229929,77.11201726480546
DS-local+nugget QML,2,10,0,17,-3905.446956331445,74.61514032480257
DS-local+nugget QML,2,10,0,18,-3904.8299978484406,75.18801109684843
DS-local+nugget QML,2,10,0,19,-3904.2421077281515,78.04717856480195
DS-local+nugget QML,2,10,0,20,-3903.6796174407664,81.78193548399513
DS-local+nugget QML,2,10,0,21,-3903.137229176924,85.10561840271096
DS-local+nugget QML,2,10,0,22,-3902.6096602823704,87.1621692256029
DS-local+nugget QML,2,10,0,23,-3902.0927780467173,87.51419732652595
DS-local+nugget QML,2,10,0,24,-3901.584119710026,86.04585694088067
DS-local+nugget QML,2,10,0,25,-3901.08286194688,82.88039661524732
DS-local+nugget QML,2,10,1,0,-6045.5132726068,1672.9881560069475
DS-local+nugget QML,2,10,1,1,-6033.791059188337,1657.9490458331443
DS-local+nugget QML,2,10,1,2,-6022.114044191318,1643.1511866379028
DS-local+nugget QML,2,10,1,3,-6010.480902936627,1628.5949524514137
DS-local+nugget QML,2,10,1,4,-5998.890296573769,1614.2807906725448
