parent_spread,nstep,unit_backward_ess_mean,unit_backward_ess_sd,bridge_backward_ess_mean,bridge_backward_ess_sd,unit_reference_probability_mean,bridge_reference_probability_mean
0.001,2.0,116.36236906713899,12.976443552368492,127.94396065914387,0.06916145651281909,0.00790423981958123,0.0078111920114503665
0.001,5.0,81.99752291158218,7.049715314079088,127.99098491915504,0.01193877004789087,0.012631234319682659,0.007812236110325784
0.001,10.0,43.83519342749689,7.311218801142694,127.97999471569469,0.02801084590179947,0.021708439122727817,0.007812648018086565
0.001,20.0,5.2677980700308975,1.7897640168812727,127.9574123506069,0.05477406852302448,0.2118292556106686,0.007812777678502225
0.001,40.0,1.3519690003382538,0.41387656573064446,127.95669181062956,0.060593010127348614,0.8018232496352448,0.007813007323664188
0.01,2.0,36.99012108625945,7.8308069197086105,121.00860620249772,8.79471349089867,0.022766026100604672,0.0077901896377964705
0.01,5.0,10.561368076505696,2.864587741419682,127.15925605597107,1.074407564086975,0.09952693571060671,0.007817183654552614
0.01,10.0,2.259267832082559,0.9343488766771529,125.60489042530824,3.871213413833285,0.549693148855788,0.007817913332259854
0.01,20.0,1.0539733891770704,0.14709468806697945,124.68554933900631,4.37457324943167,0.9761624966359668,0.007824959713119615
0.01,40.0,1.0000000000034897,3.462892830880851e-11,125.11080318140426,4.357061936743853,0.9999999999982552,0.0078233346825076
0.1,2.0,1.9481338404324762,0.8263058025453861,57.77809276160749,11.460379587497082,0.6071078736376411,0.013052088607872598
0.1,5.0,1.1437837442608076,0.2713144306301556,99.52340922341571,19.294459073581052,0.8883546297699447,0.008576873088952676
0.1,10.0,1.0012716821972878,0.01254713487902747,84.9290963207626,13.68555564478624,0.9993989995650687,0.010084483163332748
0.1,20.0,1.0,0.0,76.91157607366357,10.912154160136968,1.0,0.011934261564925233
0.1,40.0,1.0,0.0,77.83939150902009,10.299671226218786,1.0,0.011710044624603764
