method,inference_nstep,start,target_elapsed_seconds,iteration,elapsed_seconds,training_pseudo_loglik,block_loglik,block_loglik_se,eval_particles,eval_replicates,replicate_logliks
DS order-1.5 block Gaussian,20,0,0,0,8.551688174018636,-6230.911698240044,-6220.728416384535,0.961090512105988,500,4,"[-6225.182964857704, -6222.97556269545, -6219.371962795775, -6228.931781461422]"
DS order-1.5 block Gaussian,20,0,100,16,101.61674560297979,-4796.9469015698505,-4677.414468628398,0.9691111954858163,500,4,"[-4679.785151476566, -4705.712761453855, -4676.051805528079, -4697.891354767185]"
DS order-1.5 block Gaussian,20,0,200,33,199.54793764196802,-4285.996249675853,-4260.594843785799,0.37646911891149043,500,4,"[-4267.796503879368, -4260.032635650583, -4260.295294892802, -4260.705259116233]"
DS order-1.5 block Gaussian,20,0,300,50,297.3274406429846,-4200.003286527471,-4170.451942786566,0.5909425192966817,500,4,"[-4175.751968464001, -4170.074137505329, -4169.551418835794, -4173.0417091535355]"
DS order-1.5 block Gaussian,20,0,400,68,402.18688609299716,-4080.6704854552027,-4060.242671178309,0.7537968927276808,500,4,"[-4061.482610008042, -4059.060753131736, -4061.607039493292, -4061.880334720071]"
DS order-1.5 block Gaussian,20,4,0,0,8.336622638977133,-14334.775572021397,-12960.204568628811,1.0,500,4,"[-13430.004144567938, -13091.028552171552, -13017.76849422865, -12958.81827426769]"
DS order-1.5 block Gaussian,20,4,100,16,101.2185560889775,-10401.631045703647,-9888.518870278025,0.9999657748568659,500,4,"[-9945.354872630702, -9897.702799437317, -10054.349715501266, -9887.132601586312]"
DS order-1.5 block Gaussian,20,4,200,33,198.7293987099547,-10660.929709628977,-10260.978374886194,1.0,500,4,"[-10306.479476354614, -10509.858836084855, -10259.592080525073, -10411.600374179514]"
DS order-1.5 block Gaussian,20,4,300,51,302.47394576796796,-7374.694365495577,-7227.407473187287,0.9726469113237767,500,4,"[-7264.764711982309, -7239.430736665598, -7226.042056347378, -7229.900754302794]"
DS order-1.5 block Gaussian,20,4,400,68,401.00438869697973,-6068.2899326724955,-5990.5230400877645,0.99999938487817,500,4,"[-6003.726124845563, -5989.136746187986, -6012.01724302534, -6017.535236664898]"
DS order-1.5 block Gaussian,20,7,0,0,8.208321919024456,-6578.96918012133,-6416.354808786285,0.999998021412725,500,4,"[-6428.389449023825, -6439.1187597012095, -6414.968515909107, -6437.563752149443]"
DS order-1.5 block Gaussian,20,7,100,16,100.94867178902496,-5499.069742641431,-5436.528126613542,0.8574211561605812,500,4,"[-5450.019807775821, -5437.332785289017, -5448.185486273047, -5435.260404828742]"
DS order-1.5 block Gaussian,20,7,200,33,198.85663603100693,-5199.792132600058,-5160.472096121388,0.9969112082683773,500,4,"[-5159.088121507735, -5181.977702978686, -5165.741864673206, -5165.963165069373]"
DS order-1.5 block Gaussian,20,7,300,51,302.2397657179972,-4879.018863421481,-4823.810761698406,0.9999993385589747,500,4,"[-4847.308216428686, -4836.9410264625085, -4851.029834590077, -4822.424467833367]"
DS order-1.5 block Gaussian,20,7,400,68,400.752461312979,-4475.532191014132,-4443.98305283673,0.999671733656069,500,4,"[-4442.597004721856, -4458.507280653622, -4453.54736289377, -4450.980533914878]"
DS order-1.5 block Gaussian,20,8,0,0,8.131769973027986,-9100.794828771066,-8646.44028232163,0.9999999980331118,500,4,"[-8810.283661564785, -8645.053987961985, -8666.84886076803, -8665.65264230545]"
DS order-1.5 block Gaussian,20,8,100,16,100.33029685303336,-4204.692085059939,-4178.861667029537,0.9369708998369837,500,4,"[-4180.53464477785, -4184.275472668443, -4190.6944273870495, -4177.524602111069]"
DS order-1.5 block Gaussian,20,8,200,33,197.7718726550229,-4003.274318304524,-3987.5247965797344,0.36446166416178133,500,4,"[-3987.2197042741395, -3986.9410082181116, -3987.8490797679374, -3989.585323033209]"
DS order-1.5 block Gaussian,20,8,300,51,301.145153275982,-3914.1559020421873,-3907.311532279527,0.6234184586802872,500,4,"[-3906.297128142354, -3909.264024224848, -3909.7795870570876, -3907.2960420887307]"
DS order-1.5 block Gaussian,20,8,400,68,399.21380140900146,-3900.3673951000237,-3884.8813850386587,0.9636014925616385,500,4,"[-3887.1421499294343, -3890.473344358585, -3891.0539016369985, -3883.5229975767083]"
DS order-1.5 block Gaussian,20,8,405,69,404.72588124102913,-3892.1026764834814,-3889.17138010266,0.6003030220291385,500,4,"[-3894.712043974548, -3889.745693349147, -3888.1616938471434, -3889.5449906405265]"
