method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,gradient_norm,minimum_ess,median_ess,resampling_count,maximum_invalid_fraction,learning_rate,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
Corenflos DPF,20,0,0,6.362691391957924,-6231.270667517552,2578.9535922656146,17.263783335202426,76.2422372560799,97,0.0,0.05,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093505,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
Corenflos DPF,20,0,1,13.221705668023787,-6205.765898785292,2082.102940485093,20.50860194125567,75.91180347911762,79,0.0,0.05,11.60922179077675,0.42780516132250906,16.584963273479953,-0.009154575835888053,1.2225923089425315,0.42538153400289264,2.101969990642968,5.207343476023196,-2.1794251487783614,4.912077687616012,5.050225608590593,2.9120006284253583,-3.809438089326921,-2.4027504764478045,-0.5765467811612974,-6.302280429125735,-6.56096625218725,-9.371106494041072,0.2961606654366479,0.14009492969258414,0.15962794798942137,0.12905885665948325,0.2750576002218635,2.451799764245046,-0.849087417604112,2.8084964579545955,-0.9154575835888052,0.20097344785372806,-0.8547687857080314,2.101969990642968,5.207343476023196,-2.1794251487783614,4.912077687616012,5.050225608590593,2.9120006284253583,-3.809438089326921,-2.4027504764478045,-0.5765467811612974,-6.302280429125735,-6.56096625218725,-9.371106494041072,0.0,-0.7485818336479418,-0.6180563133039764,-0.830633542220786,-0.0739215646188231
Corenflos DPF,20,0,2,19.115319389034994,-6177.294827718969,1963.2745503895633,30.683853735527578,73.13215888520016,66,0.0,0.05,11.062321282329611,0.44912247772943503,17.41941336207135,-0.009303707781269132,1.1792270141413057,0.4472214603086544,2.151185429641485,5.2570357393511005,-2.1324734867934527,4.961430080930041,5.099887543246316,2.9614555180564857,-3.850100880312729,-2.4509492311439733,-0.6167551221242248,-6.275012296595466,-6.512784721236826,-9.338444761295264,0.29184065052448976,0.15257600827953527,0.15731216461872616,0.12719041405879217,0.27108076251845653,2.4035448549339105,-0.8004596495298569,2.8575852947419964,-0.9303707781269132,0.16485915106205884,-0.8047013701248111,2.151185429641485,5.2570357393511005,-2.1324734867934527,4.961430080930041,5.099887543246316,2.9614555180564857,-3.850100880312729,-2.4509492311439733,-0.6167551221242248,-6.275012296595466,-6.512784721236826,-9.338444761295264,0.0,-0.6485450491007071,-0.6179757949781506,-0.8305226490352635,-0.0737911427736477
Corenflos DPF,20,0,3,24.82358575204853,-6152.103344787766,1802.941527195435,33.61786473077447,74.83892836300114,54,0.0,0.05,10.534868874051517,0.4714607113775206,18.286432031520626,-0.009106170037216331,1.1317659671579101,0.4701738308964515,2.2007515773465753,5.306963554655917,-2.08452209012862,5.011154160202027,5.149808200330746,3.0111964385107126,-3.844421289775388,-2.4979844199778762,-0.6572526716782247,-6.2417994635472,-6.464014970310943,-9.300000862585014,0.2873666027912004,0.16595634530482636,0.15479158394666417,0.12515070069116427,0.2667347672661447,2.3546906004821104,-0.7519195072574466,2.9061593658177594,-0.910617003721633,0.12377921561338828,-0.75465279968561,2.2007515773465753,5.306963554655917,-2.08452209012862,5.011154160202027,5.149808200330746,3.0111964385107126,-3.844421289775388,-2.4979844199778762,-0.6572526716782247,-6.2417994635472,-6.464014970310943,-9.300000862585014,0.0,-0.5490339885893164,-0.6186791698610625,-0.8312401455962731,-0.07450397862448278
Corenflos DPF,20,0,4,30.454359787050635,-6131.49455552341,1593.2075015226196,35.13632081249031,78.34563819884076,49,0.0,0.05,10.027691860777214,0.49525301794305915,19.209802186532276,-0.008916058458867783,1.0826310384251032,0.4942673287597824,2.250675060895077,5.3558115156298625,-2.035664234860419,5.060987347714658,5.199745775656911,3.0610174303591937,-3.8170897595018554,-2.5396623656757518,-0.6968358004351378,-6.2060112899743,-6.415038137110751,-9.257478519679736,0.2837963517392677,0.17952417959809772,0.15177634142771157,0.12279755808146586,0.2621055691534571,2.305350451939733,-0.7026864996450439,2.9554206793059095,-0.8916058458867783,0.07939422523125939,-0.7046787568282036,2.250675060895077,5.3558115156298625,-2.035664234860419,5.060987347714658,5.199745775656911,3.0610174303591937,-3.8170897595018554,-2.5396623656757518,-0.6968358004351378,-6.2060112899743,-6.415038137110751,-9.257478519679736,0.0,-0.45794700546370226,-0.6258489103592636,-0.8377197794167317,-0.07950955129744991
Corenflos DPF,20,0,5,35.979081736993976,-6128.455181821151,1630.290439258215,39.403834459975315,79.07913859467718,42,0.0,0.05,10.000000000000002,0.5204782392238965,20.189635761915625,-0.00888971275330197,1.0359206741181135,0.5,2.2992982423572643,5.40392877986023,-1.9867954813088964,5.110407729504452,5.249425568343481,3.1107924485722624,-3.7913510289914796,-2.5739419873682063,-0.7303169112233348,-6.17009668509251,-6.367350582276775,-9.220189437443514,0.2797217192261737,0.1938196659389084,0.14865797080105742,0.12039208153956334,0.25740856249429717,2.302585092994046,-0.653007199247954,3.0051693916427284,-0.888971275330197,0.03529057152164606,-0.6931471805599453,2.2992982423572643,5.40392877986023,-1.9867954813088964,5.110407729504452,5.249425568343481,3.1107924485722624,-3.7913510289914796,-2.5739419873682063,-0.7303169112233348,-6.17009668509251,-6.367350582276775,-9.220189437443514,0.0,-0.36686707931514917,-0.6321470797848554,-0.8430414862884069,-0.08313068912413793
Corenflos DPF,20,0,6,41.471933915046975,-6135.262870667782,1356.120549795631,43.346914029197144,78.39572465171213,40,0.0,0.05,10.000000000000002,0.547244558169982,21.228063420712306,-0.009084843261369845,1.0,0.5,2.3458334697953407,5.447719057374524,-1.9373615236766002,5.1602448519681765,5.299446776961434,3.160829741312188,-3.7789180718940454,-2.6044910772145347,-0.7494689251080637,-6.129605575885924,-6.319030797745046,-9.190184723658797,0.2750741069183141,0.209140606172911,0.14544795456018622,0.1178995568417429,0.2524377755068459,2.302585092994046,-0.6028594865847835,3.055324052558336,-0.9084843261369845,0.0,-0.6931471805599453,2.3458334697953407,5.447719057374524,-1.9373615236766002,5.1602448519681765,5.299446776961434,3.160829741312188,-3.7789180718940454,-2.6044910772145347,-0.7494689251080637,-6.129605575885924,-6.319030797745046,-9.190184723658797,0.0,-0.2740337584928163,-0.6372222190622536,-0.8472074922939803,-0.08587575635699575
Corenflos DPF,20,0,7,46.88949111895636,-6130.6839503809915,1399.0436488080925,35.078637706834954,76.57991948122665,35,0.0,0.05,10.000000000000002,0.5730673448623921,22.22332231085801,-0.009281421109789254,1.0,0.5,2.3599304111705535,5.44865092902939,-1.8954338431651425,5.209865888360841,5.34896684795194,3.2075726130107234,-3.7991745408016695,-2.640461752089823,-0.7793063600666226,-6.097195560717882,-6.2710537985524315,-9.19889644563694,0.26982558729264766,0.2256584134441197,0.14212903972552968,0.11528483453837923,0.2471021249993237,2.302585092994046,-0.5567520388726834,3.1011422919751457,-0.9281421109789254,0.0,-0.6931471805599453,2.3599304111705535,5.44865092902939,-1.8954338431651425,5.209865888360841,5.34896684795194,3.2075726130107234,-3.7991745408016695,-2.640461752089823,-0.7793063600666226,-6.097195560717882,-6.2710537985524315,-9.19889644563694,0.0,-0.17875336632812616,-0.641040401860553,-0.8503698891099916,-0.08797406456570145
Corenflos DPF,20,0,8,52.30661368602887,-6117.464602816845,1400.3729812802083,37.87806796291024,77.76876954903096,35,0.0,0.0,10.000000000000002,0.6,23.284866028481098,-0.009573239912986203,1.0,0.5,2.3552044962390006,5.432621051016165,-1.8614025775243062,5.258767586988,5.397966616797505,3.251887965202917,-3.8294699439108033,-2.680659303455583,-0.81438152770516,-6.07472728528426,-6.225220160570038,-9.221969058744822,0.2640857019171198,0.2432359056978009,0.13866433322949961,0.11254827411035011,0.24146578504522964,2.302585092994046,-0.5108256237659907,3.147803622863187,-0.9573239912986202,0.0,-0.6931471805599453,2.3552044962390006,5.432621051016165,-1.8614025775243062,5.258767586988,5.397966616797505,3.251887965202917,-3.8294699439108033,-2.680659303455583,-0.81438152770516,-6.07472728528426,-6.225220160570038,-9.221969058744822,0.0,-0.08224190118528345,-0.6442175351601436,-0.8528914461306966,-0.08954589271566259
