method,inference_nstep,start,iteration,elapsed_seconds,pseudo_loglik,complete_pseudologlik,score_norm,minimum_ess,maximum_invalid_fraction,unique_initial_ancestors,backward_fallbacks,accepted_step_size,backtrack_count,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,0,15.677167990012094,-6213.326621917971,28117.75002755609,14737.781124246592,161.7496320539406,0.0033999999999999586,3,0,0.2,0,12.204439319925953,0.40694085741223185,15.776105071350697,-0.009654575819763804,1.285275956517952,0.4046354317852725,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.30016229191247606,0.12847598067816407,0.16178485054093505,0.1308026974351881,0.27877417943323657,2.501799764233874,-0.899087417582029,2.7584964580403506,-0.9654575819763804,0.25097344744528827,-0.904768785701927,2.0519699908305746,5.157343476386535,-2.22942514844895,4.8620776876508796,5.000225608613919,2.862000628488265,-3.7594382581790438,-2.3527504780275645,-0.5265467864596349,-6.352280427453167,-6.610966241633912,-9.421106416727302,0.0,-0.8485813353537146,-0.6180559319568264,-0.8306332400209862,-0.07392124005080869
DS order-1.5 block Gaussian,20,0,1,29.00167332496494,-5282.886253188172,29622.96650307622,25014.162597868668,21.37424844446702,0.029799999999999938,1,0,0.2,0,14.906535846777858,0.3331749946587953,12.916382387555291,-0.01,1.5698395948442725,0.49422283236086323,1.851969992446134,4.957343478418416,-2.4294251436487344,4.662077689299096,4.8002256095706946,2.6620006298349512,-3.95943824099925,-2.5527504724133236,-0.72654678286018,-6.552280418474677,-6.810965975383963,-9.621106160418927,0.3011271259408127,0.15742531945265947,0.13288400298364406,0.10743642568207107,0.3011271259408127,2.7017997642085074,-1.0990874175475756,2.5584964581836545,-1.0,0.45097344525162186,-0.7047687858455867,1.851969992446134,4.957343478418416,-2.4294251436487344,4.662077689299096,4.8002256095706946,2.6620006298349512,-3.95943824099925,-2.5527504724133236,-0.72654678286018,-6.552280418474677,-6.810965975383963,-9.621106160418927,0.0,-0.6485813372946057,-0.8180559312515575,-1.030633237280235,0.0
DS order-1.5 block Gaussian,20,0,2,42.32664210803341,-4711.048364352834,30345.098540520532,2618.736708424042,32.05546008262308,0.07799999999999996,1,0,0.2,0,16.879099843074467,0.30081358947641357,14.690041494484376,-0.01,1.886498809891619,0.5,1.6791471782494052,4.791738288252316,-2.6181425778436624,4.462048542024649,4.600770698645167,2.474172018031552,-4.128201981026421,-2.7311879834595403,-0.9219614629701911,-6.751544348371944,-6.978000316075813,-9.821361741362557,0.2922497634236665,0.15203143454962875,0.13701947978267834,0.11466040614564796,0.30403891609837846,2.8260761609138036,-1.2012645101463073,2.6871698148573837,-1.0,0.6347226295668047,-0.6931471805599453,1.6791471782494052,4.791738288252316,-2.6181425778436624,4.462048542024649,4.600770698645167,2.474172018031552,-4.128201981026421,-2.7311879834595403,-0.9219614629701911,-6.751544348371944,-6.978000316075813,-9.821361741362557,-0.03954691584271114,-0.6930684009823336,-0.7970326027796293,-0.9751809370469396,0.0
DS order-1.5 block Gaussian,20,0,3,55.65139013598673,-4431.646963627125,30499.152645065333,2780.7247550769375,11.72803493035825,0.1449999999999999,1,0,0.2,0,19.493690560810386,0.2713315824454028,17.20910913502986,-0.008760746913221745,2.175644153465934,0.5,1.7017268803911523,4.831960806277401,-2.7805333592158896,4.315362889672705,4.448891266112595,2.2837088052347836,-4.044069443163936,-2.9173166870834653,-1.072800055850209,-6.897562060685346,-7.129421834230421,-9.862323932133288,0.278559615007439,0.150388379321828,0.14083653724235856,0.12370823783897375,0.3065072305894007,2.970090852228469,-1.3044136545724474,2.8454388445041876,-0.8760746913221745,0.7773247832062604,-0.6931471805599453,1.7017268803911523,4.831960806277401,-2.7805333592158896,4.315362889672705,4.448891266112595,2.2837088052347836,-4.044069443163936,-2.9173166870834653,-1.072800055850209,-6.897562060685346,-7.129421834230421,-9.862323932133288,-0.0956092519903805,-0.7120202025448115,-0.7776414384077928,-0.9073154734440114,0.0
DS order-1.5 block Gaussian,20,0,4,68.97543033806141,-4316.749637522484,30279.72226508981,1341.349181389724,1.662777583152229,0.22699999999999998,1,0,0.2,0,22.69087900894669,0.2363026032354724,18.107479382128485,-0.007496706263837494,2.5310914218314546,0.5,1.81560034928056,4.951854933909304,-2.952146750628597,4.1500576550874575,4.295373208811115,2.326360345094451,-3.913429472531353,-3.1089790460182587,-1.2410201760221036,-7.062511010097691,-7.281973336316353,-9.74955630250165,0.29256668031783367,0.16212880469833804,0.12781075745449816,0.11474782267406469,0.3027459348552655,3.1219630379685137,-1.4426420781953984,2.8963250784495833,-0.7496706263837494,0.9286506017448827,-0.6931471805599453,1.81560034928056,4.951854933909304,-2.952146750628597,4.1500576550874575,4.295373208811115,2.326360345094451,-3.913429472531353,-3.1089790460182587,-1.2410201760221036,-7.062511010097691,-7.281973336316353,-9.74955630250165,-0.03420134735510377,-0.6245028448994114,-0.8623432424087425,-0.9701570807024051,0.0
DS order-1.5 block Gaussian,20,0,5,82.29971430602018,-4185.21668177333,30109.9172051519,1970.3169686582537,2.4350043176943656,0.3218,1,0,0.2,0,23.2016472802159,0.2221509399622495,18.76910610369358,-0.005970006655588823,2.985339702664248,0.5,1.9490926343659118,5.090099199344275,-3.11417032992724,3.9735647747487235,4.131402529249974,2.4412386057114364,-3.7702302733869772,-3.042957762088269,-1.420198140048766,-7.23906005922102,-7.448140727072571,-9.614997307407199,0.3012662927826619,0.1653195757511292,0.12133822948106752,0.11080960920247945,0.3012662927826619,3.14422327960922,-1.5043982184039066,2.9322122257932812,-0.5970006655588823,1.0937135436070722,-0.6931471805599453,1.9490926343659118,5.090099199344275,-3.11417032992724,3.9735647747487235,4.131402529249974,2.4412386057114364,-3.7702302733869772,-3.042957762088269,-1.420198140048766,-7.23906005922102,-7.448140727072571,-9.614997307407199,0.0,-0.6001141438563415,-0.9094126362478135,-1.0001810710613526,0.0
DS order-1.5 block Gaussian,20,0,6,95.62444633897394,-4106.300209093899,29932.09744051383,672.5142732090313,3.7010187778106447,0.38659999999999994,1,0,0.2,0,22.550053335965742,0.2270573729067895,19.871203228682642,-0.004533536051884599,3.4055313480329894,0.5,2.0836971973308342,5.223861528726797,-3.2628827975096355,3.80967514394235,4.019963732124277,2.581306802372526,-3.6316090942085055,-2.9663498950033413,-1.5916382115381582,-7.405765499299829,-7.58756399599484,-9.469445655090214,0.30281941096377024,0.16318452932266536,0.1201119315552663,0.11106471719452782,0.30281941096377024,3.115737431177187,-1.4825525493523661,2.9892716097722474,-0.4533536051884599,1.2254009767759382,-0.6931471805599453,2.0836971973308342,5.223861528726797,-3.2628827975096355,3.80967514394235,4.019963732124277,2.581306802372526,-3.6316090942085055,-2.9663498950033413,-1.5916382115381582,-7.405765499299829,-7.58756399599484,-9.469445655090214,0.0,-0.6182549821892306,-0.9247125534192735,-1.003023555208451,0.0
DS order-1.5 block Gaussian,20,0,7,108.95103512704372,-4095.0799588136774,29488.677992101035,2301.684065290856,21.420866150529108,0.4192,1,0,0.2,0,23.12943875329902,0.22139398062494467,21.163320534581317,-0.0029559169051237948,3.845492465121139,0.5,2.2372421380104623,5.373332406535408,-3.4215825231559718,3.6463576277074266,4.003624682747263,2.7330276196395764,-3.4959973746837556,-2.8811033838104407,-1.7723149109570264,-7.5824991365173835,-7.710226445917462,-9.307341067685863,0.3047049249209095,0.15743072928398927,0.12087674810396921,0.11228267277022248,0.3047049249209095,3.1411062110678016,-1.5078114468597394,3.0522695197533785,-0.2955916905123795,1.3469016741114497,-0.6931471805599453,2.2372421380104623,5.373332406535408,-3.4215825231559718,3.6463576277074266,4.003624682747263,2.7330276196395764,-3.4959973746837556,-2.8811033838104407,-1.7723149109570264,-7.5824991365173835,-7.710226445917462,-9.307341067685863,0.0,-0.6603583015917186,-0.9245724332916303,-0.9983242933219897,0.0
DS order-1.5 block Gaussian,20,0,8,122.27761519607157,-4095.706654273833,29069.40163279588,1400.5203796678873,53.71379384323382,0.4598,2,0,0.2,0,24.170135580183477,0.20792210509125736,21.35736684940468,-0.001565125335017961,4.228100756535569,0.5,2.370060385011664,5.486493438902329,-3.5796484511111055,3.5039298996852892,4.016934144553876,2.886689792191527,-3.384870984159352,-2.843259371719271,-1.950635370043587,-7.752592670524698,-7.812418253650127,-9.159539783285899,0.30650710835387485,0.1491028404836456,0.12318091060989071,0.11470203219871405,0.30650710835387485,3.1851178041404316,-1.5705917641750617,3.0613967316524215,-0.1565125335017961,1.4417528985035055,-0.6931471805599453,2.370060385011664,5.486493438902329,-3.5796484511111055,3.5039298996852892,4.016934144553876,2.886689792191527,-3.384870984159352,-2.843259371719271,-1.950635370043587,-7.752592670524698,-7.812418253650127,-9.159539783285899,0.0,-0.7206046746744613,-0.9115868543807987,-0.9829032056353669,0.0
DS order-1.5 block Gaussian,20,0,9,135.60438898706343,-4076.073814986432,28967.372187849385,2496.163461966079,24.998653056861425,0.493,3,0,0.2,0,24.375902715909614,0.20098672202546222,22.324280333599596,-0.0006080914915045608,4.251127683871722,0.48571904303521535,2.4275855439250935,5.513527420261714,-3.746736573467321,3.394468714647248,4.08167981582162,3.049110497100073,-3.3255720358882312,-2.872992407591843,-2.124890269149868,-7.906454691542919,-7.8863682061474245,-9.050531488750055,0.3072502919887286,0.1392510325923791,0.12690726369338184,0.118534359024478,0.3080570527010325,3.1935950506970068,-1.604516432679906,3.1056748903459805,-0.060809149150456085,1.44718428512217,-0.7221249229968963,2.4275855439250935,5.513527420261714,-3.746736573467321,3.394468714647248,4.08167981582162,3.049110497100073,-3.3255720358882312,-2.872992407591843,-2.124890269149868,-7.906454691542919,-7.8863682061474245,-9.050531488750055,-0.0026223030866511874,-0.7940067076967828,-0.8868283892730315,-0.9550821337402247,0.0
