method,inference_nstep,start,start_type,particles,iterations_requested,updates_completed,termination_reason,elapsed_seconds,initial_pseudo_loglik,final_pseudo_loglik,minimum_ess,maximum_invalid_fraction,total_backtracks,gamma,m,epsilon,beta_trend,sigma,tau,bs1,bs2,bs3,bs4,bs5,bs6,omegas1,omegas2,omegas3,omegas4,omegas5,omegas6,S_0,I_0,R1_0,R2_0,R3_0,raw_0,raw_1,raw_2,raw_3,raw_4,raw_5,raw_6,raw_7,raw_8,raw_9,raw_10,raw_11,raw_12,raw_13,raw_14,raw_15,raw_16,raw_17,raw_18,raw_19,raw_20,raw_21,raw_22
DS order-1.5 block Gaussian,20,0,global-box,100,5000,88,time-budget,300.31842784699984,-6230.759840064467,-4600.680323686125,1.0000197177666812,0.13999999999999999,0,14.128195118200718,0.38004023888757754,14.266625243750013,-0.008994680176280157,2.398891177396314,0.5,1.5888693914657757,4.737953100971998,-2.797649699901784,4.222506159400763,4.340092236423859,2.296030350106482,-4.047834992707215,-2.892609285309082,-1.1317490119008646,-6.988704194963877,-7.304691944204562,-9.755053408802274,0.2854695785211178,0.12301770170669615,0.1731206891325583,0.13910494677081625,0.27928708386881146,2.648172454510908,-0.9674781400584328,2.65792291043996,-0.8994680176280156,0.8750066211764624,-0.6931471805599453,1.5888693914657757,4.737953100971998,-2.797649699901784,4.222506159400763,4.340092236423859,2.296030350106482,-4.047834992707215,-2.892609285309082,-1.1317490119008646,-6.988704194963877,-7.304691944204562,-9.755053408802274,0.0,-0.8418072069941999,-0.5001464920120288,-0.7189068073346201,-0.021895241096034634
DS order-1.5 block Gaussian,20,4,global-box,100,5000,88,time-budget,300.5995116580161,-11169.302756751138,-4916.122376038038,1.0000000000000124,0.33999999999999997,0,22.843174199217025,0.3793937551605608,2.820604936866339,-0.007980060554216784,5.0,0.3963071171293909,2.6758156904046317,4.647068548100475,3.0950735947918133,0.0,6.81994534295664,5.300113441708536,0.0,-6.375952091400838,-4.54566932239786,-6.688403126445237,-8.834003285989303,-2.4088074391363135,0.015097162693220407,0.14081950531079884,0.19436701456591804,0.3262533651422599,0.323462952287803,3.128652350578947,-0.9691806813938065,1.0369513785638913,-0.7980060554216785,1.6094379124341003,-0.9255658200033012,2.6758156904046317,4.647068548100475,3.0950735947918133,0.0,6.81994534295664,5.300113441708536,0.0,-6.375952091400838,-4.54566932239786,-6.688403126445237,-8.834003285989303,-2.4088074391363135,-3.073167448141977,-0.8401953070298097,-0.5179260737254852,0.0,-0.008589687334608296
DS order-1.5 block Gaussian,20,7,global-box,100,5000,89,time-budget,302.9231256439816,-6751.0948996177885,-5279.974632066289,1.0253991334243655,0.32999999999999996,0,12.430396831700943,0.17274442645405463,8.898139099244831,-0.009260794557755053,4.963831839897617,0.5,3.389956269570819,5.497434746093167,-0.025988638697798605,4.083833268690177,6.531237754079984,0.0,-7.9211078112877145,-2.1950958253307267,-4.443202299122034,-10.0,-1.5843066798085683,-4.934109830868799,0.1986376172471512,0.10342363953730938,0.3268405018563198,0.24603168437250544,0.12506655698671426,2.520144830330873,-1.7559420805072017,2.1858421649032476,-0.9260794557755053,1.6021779908414064,-0.6931471805599453,3.389956269570819,5.497434746093167,-0.025988638697798605,4.083833268690177,6.531237754079984,0.0,-7.9211078112877145,-2.1950958253307267,-4.443202299122034,-10.0,-1.5843066798085683,-4.934109830868799,-0.4979901441999782,-1.1506387318334954,0.0,-0.28401196409464385,-0.9606262385037654
DS order-1.5 block Gaussian,20,8,global-box,100,5000,88,time-budget,300.6551225060248,-9329.62127233223,-4026.1065372455378,1.00000001698794,0.12999999999999998,0,27.65259395322445,0.1702927341942303,14.19830486335232,-0.004026629897815274,2.293729376186666,0.5,2.6660151011956263,4.74930142266906,-1.76085272477816,4.341856891719352,3.460867552032678,4.160377260389972,-4.956757669839371,0.0,-6.875919868833328,-5.799340964817628,-4.6950226330985165,-8.547460335066285,0.035882814104630796,0.3369736695299468,0.23255349396045175,0.057616352875023875,0.3369736695299468,3.3197195374279342,-1.7702363569668766,2.6531225816610955,-0.4026629897815274,0.8301790414720558,-0.6931471805599453,2.6660151011956263,4.74930142266906,-1.76085272477816,4.341856891719352,3.460867552032678,4.160377260389972,-4.956757669839371,0.0,-6.875919868833328,-5.799340964817628,-4.6950226330985165,-8.547460335066285,-2.239746330216465,0.0,-0.3708845152282457,-1.7661983638523027,0.0
