method,inference_nstep,start,iteration,elapsed_seconds,approx_loglik,euler_loglik,euler_se,evaluation_status,eval_particles,eval_replicates
DS-local+nugget QML,10,0,25,54.23885925399372,-3901.08286194688,-3754.461998943658,0.240442424785777,ok,5000,4
DS-local+nugget QML,20,0,0,7.526591130008455,-3921.183064862524,-3748.956765954205,0.2593935722592804,ok,5000,4
DS-local+nugget QML,20,0,1,11.278508231975138,-3917.918396016565,-3747.770699183556,0.21387304253210307,ok,5000,4
DS-local+nugget QML,20,0,2,15.030111585976556,-3915.047054823499,-3748.394876440065,0.3222739164900098,ok,5000,4
DS-local+nugget QML,20,0,3,18.781353580998257,-3912.586038270344,-3749.111515443544,0.29452153878784765,ok,5000,4
DS-local+nugget QML,20,0,4,22.533206929976583,-3910.551620141679,-3747.4515653710414,0.578980988702141,ok,5000,4
DS-local+nugget QML,20,0,5,26.28483810799662,-3908.956796034791,-3749.2410608825203,0.41056992867867514,ok,5000,4
DS-local+nugget QML,20,0,6,30.036833908001427,-3907.8030655314783,-3750.54345296838,0.3288012904189657,ok,5000,4
DS-local+nugget QML,20,0,7,33.78846708399942,-3907.056295634453,-3750.7861803296523,0.27782001825482555,ok,5000,4
DS-local+nugget QML,20,0,8,37.54043818701757,-3906.597034031819,-3751.7010760482585,0.3318698115909326,ok,5000,4
DS-local+nugget QML,20,0,9,41.29244933498558,-3906.225910041604,-3752.187957684037,0.26171877885435024,ok,5000,4
DS-local+nugget QML,20,0,10,45.0444617929752,-3905.817280291579,-3752.7581206298732,0.2903130781255559,ok,5000,4
DS-local+nugget QML,20,0,11,48.7964425199898,-3905.3381353038753,-3752.589980068202,0.8449398873959831,ok,5000,4
DS-local+nugget QML,20,0,12,52.54806398099754,-3904.7883917856334,-3753.8361174681913,0.2226428479617041,ok,5000,4
DS-local+nugget QML,20,0,13,56.29910468298476,-3904.1806365847783,-3753.1120868901608,0.7447206816645984,ok,5000,4
DS-local+nugget QML,20,0,14,60.04975523496978,-3903.534292520192,-3753.754757459487,0.2853684459790686,ok,5000,4
DS-local+nugget QML,20,0,15,63.80153444601456,-3902.871688045252,-3752.6867679814613,1.297007848644734,ok,5000,4
DS-local+nugget QML,20,0,16,67.5533582699718,-3902.2140975780662,-3753.7114707076994,0.4236345054241878,ok,5000,4
DS-local+nugget QML,20,0,17,71.30553648999194,-3901.57793671322,-3754.613634343847,0.20552467395187132,ok,5000,4
DS-local+nugget QML,20,0,18,75.0568278550054,-3900.9721485977366,-3753.0939586110953,0.5258429189176076,ok,5000,4
DS-local+nugget QML,20,0,19,78.80837719200645,-3900.398129205601,-3752.1535562309236,1.186087493030467,ok,5000,4
DS-local+nugget QML,20,0,20,82.55996110796696,-3899.851871138305,-3753.2212852926496,0.3249893809796238,ok,5000,4
DS-local+nugget QML,20,0,21,86.31138308497611,-3899.326722939065,-3754.3081347011394,0.4317992329474815,ok,5000,4
DS-local+nugget QML,20,0,22,90.06301831401652,-3898.815821645383,-3753.1178851976315,0.27229838722868094,ok,5000,4
DS-local+nugget QML,20,0,23,93.81454963097347,-3898.313763436192,-3753.963223689283,0.20802912826636727,ok,5000,4
DS-local+nugget QML,20,0,24,97.56571540801087,-3897.817380590163,-3754.181517911567,0.42891003339872846,ok,5000,4
DS-local+nugget QML,20,0,25,101.3175324620097,-3897.3257639218746,-3754.2522445551836,0.6077850343399145,ok,5000,4
