bracket_depth,directions,rank,smallest_normalized_singular_value
0.0,1.0,1.0,1.0
1.0,2.0,2.0,0.6527144286964873
2.0,3.0,3.0,0.5862969478291263
3.0,4.0,4.0,0.4530274845148924
4.0,5.0,5.0,0.0006413106660427264
5.0,6.0,6.0,4.5218601151040524e-08
