method,inference_nstep,evaluation_nstep,start,fit_converged,evaluation_status,euler_loglik,euler_se,eval_particles,eval_replicates
Published parameter point,0.0,20,0,True,ok,-3747.950208875291,0.17259510632804878,5000,36
DS-local+nugget QML,5.0,20,0,True,ok,-3754.052919121825,0.16582860859250226,5000,36
DS-local+nugget QML,10.0,20,0,True,ok,-3754.4077567082913,0.12497860550236611,5000,36
DS-local+nugget QML,20.0,20,0,True,ok,-3753.7104487519396,0.1969851664980277,5000,36
IFAD-0.97 (paper),,20,-1,True,paper-value,-3744.17,,5000,36
